tas,"	Year", Month, Country, ISO3, ISO2
-4.3132,1901,1,BGR,,
0.85428,1901,2,BGR,,
7.16372,1901,3,BGR,,
10.3193,1901,4,BGR,,
15.2306,1901,5,BGR,,
19.1397,1901,6,BGR,,
21.4245,1901,7,BGR,,
20.5352,1901,8,BGR,,
16.6065,1901,9,BGR,,
12.2909,1901,10,BGR,,
4.01284,1901,11,BGR,,
3.79574,1901,12,BGR,,
1.11533,1902,1,BGR,,
3.88488,1902,2,BGR,,
4.62664,1902,3,BGR,,
9.48723,1902,4,BGR,,
13.222,1902,5,BGR,,
18.2246,1902,6,BGR,,
20.1053,1902,7,BGR,,
21.002,1902,8,BGR,,
16.9369,1902,9,BGR,,
12.6405,1902,10,BGR,,
1.69866,1902,11,BGR,,
-3.3631,1902,12,BGR,,
-1.2974,1903,1,BGR,,
1.76756,1903,2,BGR,,
5.71156,1903,3,BGR,,
9.23561,1903,4,BGR,,
14.9084,1903,5,BGR,,
17.6835,1903,6,BGR,,
20.3887,1903,7,BGR,,
20.2437,1903,8,BGR,,
16.4718,1903,9,BGR,,
12.0732,1903,10,BGR,,
6.42478,1903,11,BGR,,
2.48945,1903,12,BGR,,
-2.4023,1904,1,BGR,,
4.07329,1904,2,BGR,,
3.7993,1904,3,BGR,,
9.4925,1904,4,BGR,,
14.6361,1904,5,BGR,,
18.4221,1904,6,BGR,,
21.2487,1904,7,BGR,,
20.506,1904,8,BGR,,
15.7227,1904,9,BGR,,
12.1562,1904,10,BGR,,
2.71051,1904,11,BGR,,
0.74244,1904,12,BGR,,
-4.3134,1905,1,BGR,,
-1.4493,1905,2,BGR,,
4.33528,1905,3,BGR,,
9.2189,1905,4,BGR,,
15.4909,1905,5,BGR,,
18.4225,1905,6,BGR,,
21.966,1905,7,BGR,,
22.4332,1905,8,BGR,,
18.0564,1905,9,BGR,,
10.7905,1905,10,BGR,,
8.5324,1905,11,BGR,,
0.69447,1905,12,BGR,,
-0.9589,1906,1,BGR,,
1.94101,1906,2,BGR,,
6.73205,1906,3,BGR,,
10.5416,1906,4,BGR,,
15.0516,1906,5,BGR,,
18.4368,1906,6,BGR,,
21.3915,1906,7,BGR,,
19.8434,1906,8,BGR,,
16.0432,1906,9,BGR,,
10.4594,1906,10,BGR,,
7.21549,1906,11,BGR,,
0.77066,1906,12,BGR,,
-3.6662,1907,1,BGR,,
-1.937,1907,2,BGR,,
0.37062,1907,3,BGR,,
8.08924,1907,4,BGR,,
17.829,1907,5,BGR,,
18.9342,1907,6,BGR,,
21.0095,1907,7,BGR,,
20.5573,1907,8,BGR,,
