tas,"	Year", Month, Country, ISO3, ISO2
18.1562,1901,1,MAC,,
12.9875,1901,2,MAC,,
18.1843,1901,3,MAC,,
23.0093,1901,4,MAC,,
25.8781,1901,5,MAC,,
27.7656,1901,6,MAC,,
28.275,1901,7,MAC,,
27.6531,1901,8,MAC,,
27.2624,1901,9,MAC,,
25.3125,1901,10,MAC,,
20.8437,1901,11,MAC,,
15.9875,1901,12,MAC,,
17.1906,1902,1,MAC,,
15.5093,1902,2,MAC,,
20.6281,1902,3,MAC,,
23.5562,1902,4,MAC,,
27.0656,1902,5,MAC,,
27.0843,1902,6,MAC,,
28.0875,1902,7,MAC,,
28.3281,1902,8,MAC,,
27.5499,1902,9,MAC,,
24.9312,1902,10,MAC,,
21.9375,1902,11,MAC,,
17.6718,1902,12,MAC,,
14.5625,1903,1,MAC,,
14.9281,1903,2,MAC,,
19.6749,1903,3,MAC,,
23.2062,1903,4,MAC,,
24.9,1903,5,MAC,,
28.0499,1903,6,MAC,,
27.975,1903,7,MAC,,
27.8406,1903,8,MAC,,
26.3781,1903,9,MAC,,
24.6343,1903,10,MAC,,
19.6687,1903,11,MAC,,
15.775,1903,12,MAC,,
15.2125,1904,1,MAC,,
17.1468,1904,2,MAC,,
17.8968,1904,3,MAC,,
22.3187,1904,4,MAC,,
24.9906,1904,5,MAC,,
26.8875,1904,6,MAC,,
27.6749,1904,7,MAC,,
27.7374,1904,8,MAC,,
27.2624,1904,9,MAC,,
24.8343,1904,10,MAC,,
20.4468,1904,11,MAC,,
15.475,1904,12,MAC,,
17.7843,1905,1,MAC,,
13.2093,1905,2,MAC,,
15.5718,1905,3,MAC,,
20.75,1905,4,MAC,,
26.3624,1905,5,MAC,,
27.6062,1905,6,MAC,,
28.2812,1905,7,MAC,,
27.9343,1905,8,MAC,,
27.1812,1905,9,MAC,,
24.5499,1905,10,MAC,,
20.7593,1905,11,MAC,,
18.0562,1905,12,MAC,,
14.6718,1906,1,MAC,,
15.9875,1906,2,MAC,,
17.0281,1906,3,MAC,,
21.4531,1906,4,MAC,,
25.5031,1906,5,MAC,,
28.2624,1906,6,MAC,,
28.6875,1906,7,MAC,,
29.0062,1906,8,MAC,,
27.6687,1906,9,MAC,,
24.3375,1906,10,MAC,,
19.7593,1906,11,MAC,,
17.0843,1906,12,MAC,,
16.2437,1907,1,MAC,,
15.0312,1907,2,MAC,,
18.2656,1907,3,MAC,,
21.5156,1907,4,MAC,,
25.3812,1907,5,MAC,,
26.875,1907,6,MAC,,
28.45,1907,7,MAC,,
28.3437,1907,8,MAC,,
27.4625,1907,9,MAC,,
26.2062,1907,10,MAC,,
21.925,1907,11,MAC,,
16.1968,1907,12,MAC,,
16.5937,1908,1,MAC,,
14.8281,1908,2,MAC,,
16.8312,1908,3,MAC,,
21.1687,1908,4,MAC,,
25.2812,1908,5,MAC,,
27.0875,1908,6,MAC,,
28.2812,1908,7,MAC,,
28.4281,1908,8,MAC,,
27.6625,1908,9,MAC,,
25.0375,1908,10,MAC,,
21.2406,1908,11,MAC,,
16.9875,1908,12,MAC,,
15.8312,1909,1,MAC,,
16.0375,1909,2,MAC,,
18.3812,1909,3,MAC,,
22.5156,1909,4,MAC,,
24.5843,1909,5,MAC,,
28.0656,1909,6,MAC,,
28.2875,1909,7,MAC,,
28.8281,1909,8,MAC,,
28.3656,1909,9,MAC,,
25.525,1909,10,MAC,,
21.3687,1909,11,MAC,,
17.1562,1909,12,MAC,,
16.5187,1910,1,MAC,,
15.7906,1910,2,MAC,,
18,1910,3,MAC,,
21.7062,1910,4,MAC,,
26.8343,1910,5,MAC,,
28.15,1910,6,MAC,,
28.2875,1910,7,MAC,,
28.5281,1910,8,MAC,,
26.975,1910,9,MAC,,
24.2374,1910,10,MAC,,
20.4531,1910,11,MAC,,
14.9968,1910,12,MAC,,
14.8593,1911,1,MAC,,
15.8968,1911,2,MAC,,
19.1531,1911,3,MAC,,
21.7343,1911,4,MAC,,
24.975,1911,5,MAC,,
28.5499,1911,6,MAC,,
28.1718,1911,7,MAC,,
28.3156,1911,8,MAC,,
27.7624,1911,9,MAC,,
23.6593,1911,10,MAC,,
20.6562,1911,11,MAC,,
17.4531,1911,12,MAC,,
14.0937,1912,1,MAC,,
15.7593,1912,2,MAC,,
18.5906,1912,3,MAC,,
21.9531,1912,4,MAC,,
26.8406,1912,5,MAC,,
27.8531,1912,6,MAC,,
28.5375,1912,7,MAC,,
28.2531,1912,8,MAC,,
26.7187,1912,9,MAC,,
24.6375,1912,10,MAC,,
20.625,1912,11,MAC,,
15.8875,1912,12,MAC,,
15.0281,1913,1,MAC,,
16.0718,1913,2,MAC,,
16.9437,1913,3,MAC,,
22.5218,1913,4,MAC,,
25.5437,1913,5,MAC,,
27.5156,1913,6,MAC,,
28.5375,1913,7,MAC,,
28.1437,1913,8,MAC,,
27.2562,1913,9,MAC,,
24.6375,1913,10,MAC,,
20.9656,1913,11,MAC,,
15.6312,1913,12,MAC,,
16.9874,1914,1,MAC,,
17.375,1914,2,MAC,,
20.0562,1914,3,MAC,,
22.6937,1914,4,MAC,,
26.4468,1914,5,MAC,,
27.8531,1914,6,MAC,,
28.3218,1914,7,MAC,,
28.4437,1914,8,MAC,,
27.3375,1914,9,MAC,,
25.3437,1914,10,MAC,,
20.9093,1914,11,MAC,,
17.3406,1914,12,MAC,,
15.5281,1915,1,MAC,,
17.5625,1915,2,MAC,,
18.7687,1915,3,MAC,,
24.2875,1915,4,MAC,,
24.9343,1915,5,MAC,,
27.8031,1915,6,MAC,,
28.6437,1915,7,MAC,,
29.1343,1915,8,MAC,,
27.6531,1915,9,MAC,,
26.2593,1915,10,MAC,,
21.475,1915,11,MAC,,
17.0562,1915,12,MAC,,
15.9093,1916,1,MAC,,
15.5281,1916,2,MAC,,
16.2406,1916,3,MAC,,
22.2999,1916,4,MAC,,
26.4125,1916,5,MAC,,
26.7625,1916,6,MAC,,
28.5125,1916,7,MAC,,
28.6562,1916,8,MAC,,
27.3437,1916,9,MAC,,
24.4625,1916,10,MAC,,
19.9781,1916,11,MAC,,
16.7093,1916,12,MAC,,
13.1593,1917,1,MAC,,
15.4187,1917,2,MAC,,
16.8687,1917,3,MAC,,
21.6,1917,4,MAC,,
24.5687,1917,5,MAC,,
27.85,1917,6,MAC,,
27.6625,1917,7,MAC,,
28.3125,1917,8,MAC,,
28.2156,1917,9,MAC,,
