tas,"	Year", Month, Country, ISO3, ISO2
-6.1783,1901,1,SRB,,
-2.8554,1901,2,SRB,,
6.09466,1901,3,SRB,,
9.93279,1901,4,SRB,,
14.2764,1901,5,SRB,,
18.3497,1901,6,SRB,,
20.6323,1901,7,SRB,,
18.9915,1901,8,SRB,,
16.0438,1901,9,SRB,,
11.4814,1901,10,SRB,,
3.06734,1901,11,SRB,,
4.29392,1901,12,SRB,,
0.86693,1902,1,SRB,,
2.96992,1902,2,SRB,,
3.85136,1902,3,SRB,,
9.29854,1902,4,SRB,,
11.4623,1902,5,SRB,,
17.168,1902,6,SRB,,
19.6724,1902,7,SRB,,
20.8612,1902,8,SRB,,
16.5791,1902,9,SRB,,
11.2924,1902,10,SRB,,
1.70371,1902,11,SRB,,
-3.3034,1902,12,SRB,,
-1.4945,1903,1,SRB,,
2.06781,1903,2,SRB,,
6.41088,1903,3,SRB,,
7.6972,1903,4,SRB,,
14.4445,1903,5,SRB,,
16.6181,1903,6,SRB,,
19.4405,1903,7,SRB,,
19.7746,1903,8,SRB,,
16.9104,1903,9,SRB,,
11.52,1903,10,SRB,,
5.82724,1903,11,SRB,,
2.8008,1903,12,SRB,,
-2.796,1904,1,SRB,,
3.40346,1904,2,SRB,,
4.16416,1904,3,SRB,,
10.0084,1904,4,SRB,,
14.743,1904,5,SRB,,
18.4422,1904,6,SRB,,
21.6544,1904,7,SRB,,
20.7753,1904,8,SRB,,
14.9546,1904,9,SRB,,
11.3129,1904,10,SRB,,
2.18564,1904,11,SRB,,
0.90658,1904,12,SRB,,
-6.0953,1905,1,SRB,,
-2.0177,1905,2,SRB,,
4.41734,1905,3,SRB,,
8.55486,1905,4,SRB,,
15.2516,1905,5,SRB,,
18.3216,1905,6,SRB,,
21.6662,1905,7,SRB,,
22.1754,1905,8,SRB,,
18.7293,1905,9,SRB,,
7.17383,1905,10,SRB,,
8.08796,1905,11,SRB,,
1.14982,1905,12,SRB,,
-1.9717,1906,1,SRB,,
0.20869,1906,2,SRB,,
5.37311,1906,3,SRB,,
10.66,1906,4,SRB,,
14.5068,1906,5,SRB,,
17.2158,1906,6,SRB,,
20.6957,1906,7,SRB,,
19.2842,1906,8,SRB,,
14.6074,1906,9,SRB,,
10.3214,1906,10,SRB,,
7.07504,1906,11,SRB,,
-0.5978,1906,12,SRB,,
-3.7746,1907,1,SRB,,
-3.3104,1907,2,SRB,,
0.06457,1907,3,SRB,,
7.3229,1907,4,SRB,,
17.5942,1907,5,SRB,,
18.4836,1907,6,SRB,,
20.0145,1907,7,SRB,,
20.6557,1907,8,SRB,,
16.3361,1907,9,SRB,,
15.5268,1907,10,SRB,,
4.0832,1907,11,SRB,,
3.03973,1907,12,SRB,,
-3.7537,1908,1,SRB,,
-0.1896,1908,2,SRB,,
3.88352,1908,3,SRB,,
8.88841,1908,4,SRB,,
17.9584,1908,5,SRB,,
20.2699,1908,6,SRB,,
20.0282,1908,7,SRB,,
19.4794,1908,8,SRB,,
15.2423,1908,9,SRB,,
9.4244,1908,10,SRB,,
0.29397,1908,11,SRB,,
-1.1078,1908,12,SRB,,
-4.7376,1909,1,SRB,,
-4.9183,1909,2,SRB,,
4.86385,1909,3,SRB,,
10.4725,1909,4,SRB,,
14.2345,1909,5,SRB,,
17.8112,1909,6,SRB,,
19.9813,1909,7,SRB,,
21.1337,1909,8,SRB,,
17.0406,1909,9,SRB,,
12.2983,1909,10,SRB,,
3.58907,1909,11,SRB,,
4.49968,1909,12,SRB,,
0.38537,1910,1,SRB,,
3.50503,1910,2,SRB,,
