tas,"	Year", Month, Country, ISO3, ISO2
12.7916,1901,1,EGY,,
16.5179,1901,2,EGY,,
19.0889,1901,3,EGY,,
22.5923,1901,4,EGY,,
25.629,1901,5,EGY,,
28.6582,1901,6,EGY,,
29.3572,1901,7,EGY,,
29.2122,1901,8,EGY,,
26.8971,1901,9,EGY,,
24.2988,1901,10,EGY,,
18.1802,1901,11,EGY,,
14.8209,1901,12,EGY,,
12.255,1902,1,EGY,,
16.3533,1902,2,EGY,,
17.2617,1902,3,EGY,,
22.0678,1902,4,EGY,,
25.9028,1902,5,EGY,,
27.6857,1902,6,EGY,,
28.3648,1902,7,EGY,,
28.8363,1902,8,EGY,,
26.9758,1902,9,EGY,,
24.1386,1902,10,EGY,,
17.7734,1902,11,EGY,,
13.1959,1902,12,EGY,,
11.3961,1903,1,EGY,,
12.6919,1903,2,EGY,,
16.2594,1903,3,EGY,,
21.8015,1903,4,EGY,,
25.9293,1903,5,EGY,,
27.7237,1903,6,EGY,,
27.9608,1903,7,EGY,,
28.5451,1903,8,EGY,,
25.4737,1903,9,EGY,,
22.793,1903,10,EGY,,
17.5109,1903,11,EGY,,
14.4509,1903,12,EGY,,
12.6423,1904,1,EGY,,
15.2817,1904,2,EGY,,
17.5671,1904,3,EGY,,
21.2469,1904,4,EGY,,
25.2395,1904,5,EGY,,
27.8042,1904,6,EGY,,
28.735,1904,7,EGY,,
29.0811,1904,8,EGY,,
26.6371,1904,9,EGY,,
24.8492,1904,10,EGY,,
17.0554,1904,11,EGY,,
12.7841,1904,12,EGY,,
11.6458,1905,1,EGY,,
12.3947,1905,2,EGY,,
16.2374,1905,3,EGY,,
21.8851,1905,4,EGY,,
26.5052,1905,5,EGY,,
28.8493,1905,6,EGY,,
29.5586,1905,7,EGY,,
29.1848,1905,8,EGY,,
27.5895,1905,9,EGY,,
25.3344,1905,10,EGY,,
20.3551,1905,11,EGY,,
13.4873,1905,12,EGY,,
12.7769,1906,1,EGY,,
14.7797,1906,2,EGY,,
18.0289,1906,3,EGY,,
22.5748,1906,4,EGY,,
26.1675,1906,5,EGY,,
29.4673,1906,6,EGY,,
29.4745,1906,7,EGY,,
29.4602,1906,8,EGY,,
26.6087,1906,9,EGY,,
24.5129,1906,10,EGY,,
19.3672,1906,11,EGY,,
15.6341,1906,12,EGY,,
13.4347,1907,1,EGY,,
14.8841,1907,2,EGY,,
15.8916,1907,3,EGY,,
21.5467,1907,4,EGY,,
26.128,1907,5,EGY,,
28.2989,1907,6,EGY,,
28.8361,1907,7,EGY,,
29.0388,1907,8,EGY,,
26.5798,1907,9,EGY,,
23.9649,1907,10,EGY,,
