tas,"	Year", Month, Country, ISO3, ISO2
-0.6573,1901,1,NLD,,
-1.2231,1901,2,NLD,,
3.62608,1901,3,NLD,,
8.7566,1901,4,NLD,,
12.278,1901,5,NLD,,
14.9686,1901,6,NLD,,
18.6058,1901,7,NLD,,
16.9357,1901,8,NLD,,
14.2305,1901,9,NLD,,
10.2841,1901,10,NLD,,
4.85625,1901,11,NLD,,
3.08592,1901,12,NLD,,
4.62503,1902,1,NLD,,
0.08199,1902,2,NLD,,
5.43623,1902,3,NLD,,
8.27769,1902,4,NLD,,
8.99337,1902,5,NLD,,
15.2008,1902,6,NLD,,
15.5424,1902,7,NLD,,
14.924,1902,8,NLD,,
12.8169,1902,9,NLD,,
8.37971,1902,10,NLD,,
3.92524,1902,11,NLD,,
0.91841,1902,12,NLD,,
2.79161,1903,1,NLD,,
5.57619,1903,2,NLD,,
7.36908,1903,3,NLD,,
5.3025,1903,4,NLD,,
12.777,1903,5,NLD,,
14.2212,1903,6,NLD,,
16.0591,1903,7,NLD,,
15.478,1903,8,NLD,,
14.306,1903,9,NLD,,
10.9732,1903,10,NLD,,
5.96617,1903,11,NLD,,
1.34364,1903,12,NLD,,
0.90483,1904,1,NLD,,
2.9716,1904,2,NLD,,
4.02817,1904,3,NLD,,
9.30766,1904,4,NLD,,
12.3557,1904,5,NLD,,
14.4244,1904,6,NLD,,
18.3097,1904,7,NLD,,
16.5514,1904,8,NLD,,
12.4602,1904,9,NLD,,
9.47812,1904,10,NLD,,
5.27043,1904,11,NLD,,
4.73727,1904,12,NLD,,
1.01137,1905,1,NLD,,
3.48466,1905,2,NLD,,
6.21517,1905,3,NLD,,
6.50101,1905,4,NLD,,
12.0068,1905,5,NLD,,
16.7964,1905,6,NLD,,
18.1144,1905,7,NLD,,
16.4429,1905,8,NLD,,
13.0997,1905,9,NLD,,
6.34574,1905,10,NLD,,
4.3558,1905,11,NLD,,
3.06011,1905,12,NLD,,
3.43132,1906,1,NLD,,
2.48888,1906,2,NLD,,
4.25998,1906,3,NLD,,
7.83304,1906,4,NLD,,
12.8085,1906,5,NLD,,
14.2487,1906,6,NLD,,
16.9975,1906,7,NLD,,
17.2081,1906,8,NLD,,
14.0426,1906,9,NLD,,
11.7963,1906,10,NLD,,
7.89928,1906,11,NLD,,
0.92814,1906,12,NLD,,
1.99624,1907,1,NLD,,
0.74075,1907,2,NLD,,
5.02278,1907,3,NLD,,
7.4983,1907,4,NLD,,
12.707,1907,5,NLD,,
13.9278,1907,6,NLD,,
14.3602,1907,7,NLD,,
15.8561,1907,8,NLD,,
14.0952,1907,9,NLD,,
11.751,1907,10,NLD,,
5.88918,1907,11,NLD,,
3.87326,1907,12,NLD,,
-0.3396,1908,1,NLD,,
3.69161,1908,2,NLD,,
3.90185,1908,3,NLD,,
6.15347,1908,4,NLD,,
13.1515,1908,5,NLD,,
16.1616,1908,6,NLD,,
16.9403,1908,7,NLD,,
15.4014,1908,8,NLD,,
13.6534,1908,9,NLD,,
10.1167,1908,10,NLD,,
4.3998,1908,11,NLD,,
1.8924,1908,12,NLD,,
1.01246,1909,1,NLD,,
0.64791,1909,2,NLD,,
3.23216,1909,3,NLD,,
8.50136,1909,4,NLD,,
11.3513,1909,5,NLD,,
13.2395,1909,6,NLD,,
14.9155,1909,7,NLD,,
16.4916,1909,8,NLD,,
13.2415,1909,9,NLD,,
11.3968,1909,10,NLD,,
4.48332,1909,11,NLD,,
3.74141,1909,12,NLD,,
3.57944,1910,1,NLD,,
