tas,"	Year", Month, Country, ISO3, ISO2
23.3285,1901,1,NIC,,
24.0845,1901,2,NIC,,
25.022,1901,3,NIC,,
25.6685,1901,4,NIC,,
25.8851,1901,5,NIC,,
25.2081,1901,6,NIC,,
24.9865,1901,7,NIC,,
24.8725,1901,8,NIC,,
24.7934,1901,9,NIC,,
24.726,1901,10,NIC,,
23.6446,1901,11,NIC,,
23.3803,1901,12,NIC,,
23.0474,1902,1,NIC,,
23.9365,1902,2,NIC,,
25.3375,1902,3,NIC,,
25.7839,1902,4,NIC,,
26.0451,1902,5,NIC,,
25.1462,1902,6,NIC,,
25.1452,1902,7,NIC,,
24.5434,1902,8,NIC,,
25.1921,1902,9,NIC,,
24.8427,1902,10,NIC,,
24.2105,1902,11,NIC,,
23.5614,1902,12,NIC,,
23.5688,1903,1,NIC,,
24.5637,1903,2,NIC,,
25.221,1903,3,NIC,,
25.683,1903,4,NIC,,
25.7221,1903,5,NIC,,
25.4359,1903,6,NIC,,
25.2025,1903,7,NIC,,
24.9625,1903,8,NIC,,
25.0998,1903,9,NIC,,
24.6051,1903,10,NIC,,
23.6837,1903,11,NIC,,
23.1016,1903,12,NIC,,
23.3848,1904,1,NIC,,
24.0996,1904,2,NIC,,
24.9904,1904,3,NIC,,
25.8739,1904,4,NIC,,
25.9425,1904,5,NIC,,
25.1462,1904,6,NIC,,
24.9984,1904,7,NIC,,
24.7715,1904,8,NIC,,
24.7832,1904,9,NIC,,
24.5746,1904,10,NIC,,
23.7986,1904,11,NIC,,
23.5492,1904,12,NIC,,
23.334,1905,1,NIC,,
24.1688,1905,2,NIC,,
25.0773,1905,3,NIC,,
25.8053,1905,4,NIC,,
26.1961,1905,5,NIC,,
25.3412,1905,6,NIC,,
25.0199,1905,7,NIC,,
24.8952,1905,8,NIC,,
24.8825,1905,9,NIC,,
24.7917,1905,10,NIC,,
24.019,1905,11,NIC,,
23.5961,1905,12,NIC,,
23.0635,1906,1,NIC,,
23.6857,1906,2,NIC,,
24.8372,1906,3,NIC,,
25.5719,1906,4,NIC,,
25.9468,1906,5,NIC,,
25.0419,1906,6,NIC,,
25.1291,1906,7,NIC,,
24.8532,1906,8,NIC,,
