"iso_o","year","ck","pop_o","area","TO","temperature","rainfall","openness_hat","AperP","ckperP","hat_realopen"
"AGO",2002,188344.671875,17572649,1246700,1.053017426,22.0158333333333,87.3165766666667,0.00583806406976804,0.0709454789656357,0.01071805803866,0.955119566903646
"AGO",2003,192070.5625,18203369,1246700,1.0390122681,22.1557416666667,82.9781741666667,0.000505155695006309,0.0684873223192916,0.0105513744461259,0.966985215974516
"AGO",2004,201747.484375,18865716,1246700,1.0357992436,21.959525,88.2683416666667,0.00596922542932892,0.0660828351280174,0.0106938684105602,1.01717355954528
"AGO",2005,217491.296875,19552542,1246700,1.0659096213,22.44395,80.5557291666667,0.000753033591882653,0.0637615303421928,0.011123428190309,1.04618752949999
"AGO",2006,255379.796875,20262399,1246700,0.9462515933,21.6310333333333,92.6384091666667,0.0155097416299509,0.0615277588798839,0.0126036308373456,1.04604756363951
"AGO",2007,297778.78125,20997687,1246700,1.0806006789,21.6221083333333,83.8602258333333,0.000928524114214621,0.0593732062012354,0.01418150395565,1.05738111893765
"AGO",2008,354643.5625,21759420,1246700,1.213647079,21.6298916666667,87.5286266666667,0.0097486926794269,0.0572947256866222,0.0162983922595363,1.07665078893345
"AGO",2009,422951.03125,22549547,1246700,1.2244614234,22.0453,86.8658183333333,0.00225909754879782,0.0552871416884783,0.0187565200866341,0.960342530631224
"AGO",2010,509115.875,23369131,1246700,1.0412362996,22.1178583333333,79.2427325,0.000453170991259048,0.0533481540242125,0.0217858282791945,1.00198209821835
"AGO",2011,641505.9375,24218565,1246700,0.9998250785,21.54165,83.14135,0.00625213312432016,0.0514770383794416,0.0264881894323631,1.03871800783002
"AGO",2012,683897.6875,25096150,1246700,0.918000986,21.51605,83.7099708333333,0.00047693865467496,0.0496769424792249,0.0272510997702835,1.04810879640733
"AGO",2013,734677.375,25998340,1246700,0.8681193078,21.8475166666667,79.0114575,0.00334809246909696,0.0479530616185495,0.0282586263199881,1.03911401706426
"AGO",2014,796054.125,26920466,1246700,0.7933292751,21.6696583333333,82.8063125,0.00268129089470431,0.0463104910591072,0.0295705923144124,1.02539948701461
"ALB",2002,37005.26171875,3119029,28748,0.6852516159,12.4493066666667,81.7906666666667,0.00239209316200059,0.00921697105092643,0.0118643532069596,0.67494122789043
