"iso_o","year","ck","pop_o","area","TO","temperature","rainfall","openness_hat","AperP","ckperP","hat_realopen"
"FJI",2014,16197.642578125,885806,18333,1.1592058615,24.1773833333333,219.661808333333,0.0128412795690392,0.0206964053077085,0.0182857675135696,1.24676573243271
"FRA",2002,5098792.5,60225076,547026,0.5307202476,12.1774983333333,76.4858583333333,0.000540412826012637,0.00908302714304586,0.084662284195374,0.47026313893567
"FRA",2003,5135176.5,60550097,547026,0.5079783352,12.0975508333333,58.8105583333333,0.000521963225998142,0.00903427124154731,0.0848087245838764,0.480123637950604
"FRA",2004,6041438.5,60886607,547026,0.5192500788,11.6910683333333,66.1866083333333,0.000159561686916997,0.00898434034926597,0.0992244238540013,0.519862198366401
"FRA",2005,6905200,61233900,547026,0.5398070677,12.20729,56.4722083333333,0.00163834312631883,0.00893338493873492,0.112767600953067,0.545755173484846
"FRA",2006,7899890,61592884,547026,0.5610342445,12.6854558333333,68.9830916666667,0.00112170594643114,0.00888131817305389,0.128259784036091,0.569360256858034
"FRA",2007,8954847,61960950,547026,0.5642075658,12.8272508333333,70.0254666666667,0.000488506869558713,0.00882856056919721,0.144524042965771,0.584482734347811
"FRA",2008,9545175,62329567,547026,0.5739708289,12.4550633333333,77.1777833333333,0.000470993380569398,0.00877634847038164,0.15314040285247,0.605401648959811
"FRA",2009,9769681,62687521,547026,0.5046245085,12.7422866666667,66.6109166666667,0.00036046764664887,0.00872623436489058,0.155847301730116,0.497656296744791
"FRA",2010,10405968,63026740,547026,0.5486779108,11.6110691666667,69.6322416666667,0.00703180622248467,0.00867926851364992,0.165104017755004,0.527302017668309
"FRA",2011,11106307,63343577,547026,0.5879057643,13.3767458333333,58.9757666666667,0.00193159584491154,0.00863585585007301,0.175334383153007,0.61475292364467
"FRA",2012,11074364,63639873,547026,0.5970205917,12.75058,71.2683666666667,0.00295138557785382,0.00859564883166879,0.174016123507977,0.618374611894123
"FRA",2013,11653404,63919917,547026,0.5976405508,12.193615,77.6727166666667,0.00931091603710776,0.00855798983593799,0.18231256464241,0.595985253716011
"FRA",2014,12076728,64190638,547026,0.6047879652,13.39112,76.2964,0.00956713316987838,0.00852189691587113,0.188138463431381,0.608305767228871
"GAB",2002,23117.86328125,1294409,267667,0.8475908153,25.4372583333333,163.435316666667,0.00513655450566949,0.206787035627843,0.0178597825581018,0.801721041722044
"GAB",2003,28385.01171875,1328146,267667,0.8030260821,25.4077166666667,151.010616666667,0.00163502618062379,0.201534319269116,0.0213719061900951,0.798937829228312
"GAB",2004,37278.5859375,1364205,267667,0.8176753714,25.4004666666667,136.389133333333,0.00162649191493834,0.196207314883027,0.0273262346476519,0.838612171740503
"GAB",2005,54550.9921875,1403126,267667,0.8394959984,25.368625,130.791743333333,0.00227180724363785,0.190764763820213,0.0388781849865942,0.838758288750481
"GAB",2006,58066.12109375,1444844,267667,0.8864940926,25.4157,141.846725,0.00189207555847464,0.185256678229622,0.0401885055367569,0.859844037601948
"GAB",2007,60782.09375,1489193,267667,0.8513247917,25.3932416666667,184.823025,0.00351293101907061,0.179739630793322,0.0408154576001902,0.875336240883829
"GAB",2008,63562.55078125,1536411,267667,0.8899887259,25.189525,158.400166666667,6.39816534084857e-05,0.174215753467008,0.0413707990773628,0.901544031437289
"GAB",2009,65135.484375,1586754,267667,0.8350457742,25.35195,153.08244,0.00439181336379983,0.168688404125655,0.041049516418424,0.79096030374415
"GAB",2010,68214.59375,1640210,267667,0.8915766273,25.482725,147.695416666667,0.00276571515130526,0.163190688997141,0.0415889390687778,0.842691671437572
