"iso_o","iso_d","year","ck","pop_o","pop_d","area","temperature","rainfall","TO","dis_int","lat","lon","landlocked","contig","dist","distcap","wto_o","wto_d","rta"
"BEN","CPV",2003,33978.52734375,7520.555,460.147,112622,28.0764916666667,102.3311625,0.4872235439,126.225,6.5,2.783333,0,0,2995.859,3019.589,1,0,0
"CAN","CPV",2003,3349291.25,31627.806,460.147,9976139,-5.81184833333333,38.682775,0.6984343945,1187.996,43.65,-79.38,0,0,6150.237,5921.625,1,0,0
"BWA","CPV",2003,40524.64453125,1804.339,460.147,600372,22.7016166666667,28.2214208333333,0.8583404251,291.4366,-24.75,25.91667,1,0,6946.353,6946.353,1,0,0
"KWT","CPV",2003,250841.28125,2169.118,460.147,17818,26.5219083333333,11.9538941666667,0.8655638887,50.20689,29.33333,48,0,0,7438.518,7438.518,1,0,0
"MAR","CPV",2003,370418.75,29843.937,460.147,710850,18.3333041666667,29.2638616666667,0.5832774268,317.1194,34.03333,-6.85,0,0,2706.494,2706.494,1,0,0
"CYP","CPV",2004,69344.203125,1010.41,467.664,9251,19.5640916666667,46.9022008333333,1.1390364336,36.17663,35.15,33.35,0,0,6069.374,6069.374,1,0,0
"MAR","CPV",2004,374140.03125,30179.285,467.664,710850,17.8283333333333,24.0428075,0.6159653347,317.1194,34.03333,-6.85,0,0,2706.494,2706.494,1,0,0
"PAN","CPV",2004,65767.671875,3269.541,467.664,75648,25.4752833333333,258.903225,1.2365256123,103.4505,8.95,-79.5,0,0,6119.588,6119.588,1,0,0
"SYC","CPV",2004,6886.111328125,87.484,467.664,455,27.19845,147.45725,1.5557325459,8.02305,-4.633333,55.46667,0,0,8969.377,8969.377,0,0,0
"CAN","CPV",2004,3571504.25,31949.417,467.664,9976139,-6.9506125,38.4368583333333,0.7018054685,1187.996,45.42,-75.71,0,0,6150.237,5921.625,1,0,0
"RUS","CPV",2005,5131866,143618.185,474.567,17075400,-4.31171916666667,35.6443,0.5671324849,1554.244,55.75,37.7,0,0,6862.205,6862.205,0,0,0
"MDV","CPV",2005,3836.01171875,318.836,474.567,298,28.3074333333333,164.155,NA,6.492948,4.166667,73.46667,0,0,10644.1,10644.1,1,0,0
"NER","CPV",2005,38357.16015625,13618.449,474.567,1267000,28.0448833333333,16.9063375,0.4739546795,423.372,13.53333,2.083333,1,0,2762.9,2762.9,1,0,0
"TTO","CPV",2005,57366.69921875,1296.934,474.567,5130,26.7069833333333,147.551308333333,NA,26.93968,10.63333,-61.51667,0,0,4148.981,4148.981,1,0,0
"POL","CPV",2005,1322076,38362.666,474.567,312685,8.33900166666667,46.5248166666667,0.7027496093,210.3233,52.25,21,0,0,5707.679,5707.679,1,0,0
"CAN","CPV",2006,4208085,32645.483,480.795,9976139,-4.8720375,38.5155083333333,0.6798118492,1187.996,43.65,-79.38,0,0,6150.237,5921.625,1,0,0
"BFA","CPV",2006,32193.46875,13829.177,480.795,274200,28.6758333333333,65.1530458333333,0.36957571,196.9552,12.33333,-1.666667,1,0,2378.053,2378.053,1,0,0
"DEU","CPV",2006,10569312,81540.353,480.795,357325,9.96706583333333,57.018325,0.770821686,224.8358,51.467,6.983,0,0,4889.913,5298.168,1,0,0
"SEN","CPV",2006,69693.3046875,11556.763,480.795,196722,28.652125,56.8813783333333,0.6872369222,166.8247,14.63333,-17.45,0,0,651.838,651.838,1,0,0
"MLT","CPV",2006,24222.439453125,408.563,480.795,316,19.296725,34.3324066666667,2.502849929,6.686169,35.9,14.53333,0,0,4437.798,4437.798,1,0,0
"PHL","CPV",2006,1089157.875,87809.419,480.795,3e+05,26.0034666666667,200.163608333333,0.9494082815,206.0129,14.61667,120.9667,0,0,14925.52,14925.52,1,0,0
"MAR","CPV",2006,454135.4375,30869.346,480.795,710850,18.3739516666667,28.936615,0.7149628678,317.1194,34.03333,-6.85,0,0,2706.494,2706.494,1,0,0
"LVA","CPV",2006,175321.859375,2225.223,480.795,64589,6.98428666666667,48.1249166666667,1.0061859956,95.59013,56.95,24.1,0,0,6140.595,6140.595,1,0,0
"LSO","CPV",2007,11933.5791015625,1982.287,486.438,30355,13.1817183333333,56.2075391666667,1.6176584997,65.53132,-29.31667,27.48333,1,0,7362.177,7362.177,1,0,0
"UKR","CPV",2007,1793005,46386.355,486.438,603677,10.14913,44.7196666666667,0.9081353894,292.2376,50.41667,30.5,0,0,6224.206,6224.206,0,0,0
"ZWE","CPV",2007,13219.08203125,13329.909,486.438,390759,21.8126,56.1862566666667,0.8417290443,235.1193,-17.83333,31.05,1,0,7006.872,7006.872,1,0,0
"PRT","CPV",2007,1415282.375,10630.12,486.438,92389,15.1210441666667,49.0856166666667,0.6965307983,114.3257,38.73333,-9.133333,0,0,3001.378,3001.378,1,0,0
"TGO","CPV",2007,16220.654296875,5997.385,486.438,56785,27.2560166666667,106.872879166667,0.5139908904,89.62943,6.166667,1.35,0,0,2884.799,2884.799,1,0,0
"TUR","CPV",2007,2600180.5,69597.281,486.438,780576,12.0368941666667,43.0677358333333,0.4728957887,332.3085,39.93,32.85,0,0,5807.234,6104.001,1,0,0
"SLV","CPV",2007,49601.39453125,6083.475,486.438,21041,23.9995666666667,143.1405925,0.7762105193,54.55907,13.66667,-89.16666,0,0,7056.748,7056.748,1,0,0
"LTU","CPV",2007,165277.03125,3260.091,486.438,65300,7.87082916666667,61.8082833333333,1.1384142931,96.11483,54.68333,25.31667,0,0,6087.948,6087.948,1,0,0
"MLT","CPV",2007,27340.193359375,410.324,486.438,316,19.6472,35.8100108333333,2.585097699,6.686169,35.9,14.53333,0,0,4437.798,4437.798,1,0,0
"FJI","CPV",2008,10638.4345703125,843.34,491.723,18333,24.2510583333333,229.414916666667,1.3072039875,50.92729,-18.13333,178.4167,0,0,17669.6,17669.6,1,1,0
"SLV","CPV",2008,57652.11328125,6110.301,491.723,21041,24.6617916666667,162.921584166667,0.8066599098,54.55907,13.66667,-89.16666,0,0,7056.748,7056.748,1,1,0
"AUT","CPV",2008,1324056.75,8338.453,491.723,83858,7.61136916666667,99.3407666666667,1.0207368274,108.9196,48.21667,16.36667,1,0,5194.904,5194.904,1,1,0
"CAN","CPV",2008,4607175.5,33404.548,491.723,9976139,-6.56081416666667,40.7108333333333,0.6692423059,1187.996,43.65,-79.38,0,0,6150.237,5921.625,1,1,0
"POL","CPV",2008,1462922.125,38325.689,491.723,312685,9.46364333333333,50.1548166666667,0.8075445408,210.3233,52.25,21,0,0,5707.679,5707.679,1,1,0
"DOM","CPV",2008,339018.65625,9636.52,491.723,48734,23.9090833333333,119.306283333333,0.6139205309,83.03283,18.5,-69.78333,0,0,4937.125,4937.125,1,1,0
"DJI","CPV",2008,8607.404296875,822.934,491.723,23200,27.857975,18.5277216666667,NA,57.28986,11.6,43.15,0,0,7204.088,7204.088,1,1,0
"BRA","CPV",2008,7742464.5,192979.029,491.723,8511920,25.37395,158.56665,0.2725756946,1097.356,-15.78,-47.91,0,0,4964.447,4344.567,1,1,0
"THA","CPV",2009,2753576.75,66881.867,496.963,513115,26.579325,131.7415375,1.1926955469,269.427,13.73333,100.5,0,0,13092.34,13092.34,1,1,0
"MUS","CPV",2009,55708.8125,1244.024,496.963,2045,24.3119666666667,158.852933333333,1.0442972895,17.00907,-20.16667,57.5,0,0,9677.821,9677.821,1,1,0
"BDI","CPV",2009,9610.9150390625,8489.031,496.963,27834,21.6032916666667,104.335483333333,0.35800003564,62.75114,-3.366667,29.31667,1,0,6165.723,6165.723,1,1,0
"CHN","CPV",2009,36784308,1352068.091,496.963,9572378,7.25382333333333,43.90619,0.4460542769,1163.707,39.91667,116.4333,0,0,12655.15,12655.15,1,1,0
"GBR","CPV",2009,9035331,62722.607,496.963,244110,9.25178333333333,110.619383333333,0.5444468126,185.8346,51.5,-0.1666667,0,0,4572.15,4572.15,1,1,0
"HTI","CPV",2009,109542.8125,9852.87,496.963,27750,24.5005833333333,102.605558333333,0.582843064,62.65638,18.55,-72.33334,0,0,5205.584,5205.584,1,1,0
"ZAF","CPV",2010,1674226.125,51584.663,502.384,1219912,18.7114416666667,38.86583,0.5598898581,415.4302,-33.93333,18.46667,0,0,7023.108,7199.892,1,1,0
"AGO","CPV",2010,509115.875,23369.131,502.384,1246700,22.1178583333333,79.2427325,1.0412362996,419.9666,-8.833333,13.25,0,0,4839.974,4839.974,1,1,0
"ARE","CPV",2010,1939145.125,8270.684,502.384,83657,28.5053,3.1700075,1.4130904191,108.789,24.46667,54.41667,0,0,8135.805,8135.805,1,1,0
"MUS","CPV",2010,63291.85546875,1247.955,502.384,2045,24.308075,149.808675,1.1345707355,17.00907,-20.16667,57.5,0,0,9677.821,9677.821,1,1,0
"BFA","CPV",2010,43893.69921875,15605.217,502.384,274200,29.2110833333333,69.1071608333333,0.4886683091,196.9552,12.33333,-1.666667,1,0,2378.053,2378.053,1,1,0
"UGA","CPV",2011,161108.171875,35093.648,508.067,241038,23.7862333333333,110.042383333333,0.5293644218,184.6616,0.3333333,32.58333,1,0,6374.175,6374.175,1,1,0
"FJI","CPV",2011,14741.0888671875,867.086,508.067,18333,24.18655,228.17825,1.2803745262,50.92729,-18.13333,178.4167,0,0,17669.6,17669.6,1,1,0
"BEN","CPV",2011,51228.7265625,9460.802,508.067,112622,28.0348333333333,76.42301,0.5066683038,126.225,6.4,2.517,0,0,2995.859,3019.589,1,1,0
"ALB","CPV",2012,89331.359375,2920.039,513.979,28748,12.73313,82.12852,0.7651017286,63.77311,41.33333,19.81667,0,0,5090.82,5090.82,1,1,0
"CAF","CPV",2012,17049.484375,4490.416,513.979,622984,25.5978666666667,117.149738333333,0.3343125448,296.8741,4.383333,18.61667,1,0,4757.679,4757.679,1,1,0
"NER","CPV",2012,69832.140625,17731.634,513.979,1267000,28.0581,17.5231275,0.6122804201,423.372,13.53333,2.083333,1,0,2762.9,2762.9,1,1,0
"HND","CPV",2012,114260.53125,8505.646,513.979,112088,23.8413333333333,162.4133,1.2118821581,125.9254,14.08333,-87.23333,0,0,6843.004,6843.004,1,1,0
"TJK","CPV",2012,187741.9375,7995.062,513.979,143095,3.3992425,42.0383766666667,0.8317594454,142.2807,38.63334,68.85,1,0,9187.103,9187.103,0,1,0
"AUT","CPV",2013,1821958.75,8577.782,520.106,83858,7.2094975,102.90975,1.0406641409,108.9196,48.21667,16.36667,1,0,5194.904,5194.904,1,1,0
"AUS","CPV",2013,3757906,23150.729,520.106,7686848,22.6760333333333,35.71883,0.4127357906,1042.817,-35.3,149.133,0,0,17855.77,17648.86,1,1,0
"IND","CPV",2013,20736988,1278562.207,520.106,3287590,24.4063583333333,96.6811,0.5384413195,681.9816,28.61667,77.21667,0,0,10236.65,10236.65,1,1,0
"NLD","CPV",2013,3547229.75,16839.699,520.106,41863,9.69097166666667,60.3938,1.5332440697,76.95715,52.35,4.9,0,0,4863.254,4863.254,1,1,0
"PRY","CPV",2013,130718.7890625,6465.74,520.106,406752,23.4804583333333,89.2829,0.7063643775,239.8826,-25.25,-57.66667,1,0,5806.407,5806.407,1,1,0
"LBR","CPV",2014,10199.5791015625,4390.737,526.437,111369,25.5748,221.770383333333,1.3696870548,125.5209,6.333333,-10.76667,0,0,1687.763,1687.763,0,1,0
"HTI","CPV",2014,130775.9453125,10572.466,526.437,27750,25.2974833333333,115.087433333333,0.7125001596,62.65638,18.55,-72.33334,0,0,5205.584,5205.584,1,1,0
"NPL","CPV",2014,191709.140625,28323.241,526.437,147181,12.78535,45.97193,0.5225519568,144.2978,27.7,85.31667,1,0,11017.72,11017.72,1,1,0
"BFA","CPV",2014,68305.0546875,17585.977,526.437,274200,28.9502916666667,70.6261316666667,0.4662500863,196.9552,12.33333,-1.666667,1,0,2378.053,2378.053,1,1,0
"DEU","CPV",2014,15146735,81489.66,526.437,357325,10.795175,59.0955416666667,0.8448567249,224.8358,52.533,13.417,0,0,4889.913,5298.168,1,1,0
"BRA","CPV",2014,13655093,204213.133,526.437,8511920,25.8147833333333,145.524375,0.2468540582,1097.356,-23.53,-46.63,0,0,4964.447,4344.567,1,1,0
"TCD","CPV",2014,31375.140625,13569.438,526.437,1284005,27.4741666666667,30.4067125,0.7662652317,426.2036,12.16667,14.98333,1,0,4170.383,4170.383,1,1,0
"BEN","CPV",2014,61224.7265625,10286.712,526.437,112622,28.1641333333333,87.6081075,0.7417685593,126.225,6.5,2.783333,0,0,2995.859,3019.589,1,1,0
"HND","CPV",2014,123703.28125,8809.216,526.437,112088,24.0135833333333,154.881808333333,1.1297509728,125.9254,14.08333,-87.23333,0,0,6843.004,6843.004,1,1,0
"IDN","CPV",2014,13456787,255131.116,526.437,1933658,26.2027666666667,219.5105,0.4808017559,523.0264,-6.133333,106.75,0,0,14514.75,14514.75,1,1,0
"QAT","CRI",2002,67426.9296875,645.659,4063.204,11437,27.7754833333333,4.53691416666667,0.8846972363,40.22443,25.25,51.53333,0,0,13826.36,13826.36,1,1,0
"IRL","CRI",2002,340704.25,3976.288,4063.204,70285,9.79895166666667,114.902458333333,1.637708676,99.71606,53.33333,-6.25,0,0,8318.671,8318.671,1,1,0
"BWA","CRI",2002,36639.51171875,1779.953,4063.204,600372,22.6051,29.8999825,0.9183577406,291.4366,-24.75,25.91667,1,0,12490.49,12490.49,1,1,0
"NGA","CRI",2002,154131.09375,128666.71,4063.204,923768,27.1968333333333,92.8276691666667,0.4003516859,361.5058,6.45,3.466667,0,0,9623.901,9974.364,1,1,0
"NOR","CRI",2002,550431.3125,4546.019,4063.204,323752,1.872805,80.1287333333333,0.67647023,214.0129,59.91667,10.75,0,0,9323.294,9323.294,1,1,0
"AUS","CRI",2002,2309183.5,19475.191,4063.204,7686848,22.0964583333333,27.311115,0.4157436305,1042.817,-35.3,149.133,0,0,13829.48,13975.59,1,1,0
"GNB","CRI",2002,4897.6748046875,1293.523,4063.204,36125,27.6348416666667,106.266349166667,0.4118439956,71.48875,11.86667,-15.65,0,0,7460.788,7460.788,1,1,0
"NPL","CRI",2002,86694.5546875,24566.342,4063.204,147181,13.0923141666667,114.366489166667,0.462307185,144.2978,27.7,85.31667,1,0,15686.39,15686.39,0,1,0
"MNG","CRI",2002,36531.81640625,2443.659,4063.204,1565500,0.974755833333333,15.1727133333333,1.1851725312,470.6091,47.9,106.8667,1,0,13501.64,13501.64,1,1,0
"SLV","CRI",2002,22973.78125,5940.303,4063.204,21041,24.6062333333333,126.207614166667,0.6591909078,54.55907,13.66667,-89.16666,0,0,690.3625,690.3625,1,1,0
"CHE","CRI",2003,865704.25,7291.893,4125.971,41288,8.35201583333333,96.5927166666667,0.8952990146,76.42681,46.95,7.433333,1,0,9319.896,9319.896,1,1,0
"AUS","CRI",2003,2439970.75,19696.972,4125.971,7686848,22.0925583333333,38.8508,0.4031285441,1042.817,-33.88334,151.1667,0,0,13829.48,13975.59,1,1,0
"DNK","CRI",2003,571444,5386.968,4125.971,43094,8.69431916666667,52.8188666666667,0.808817255,78.08043,55.66667,12.58333,0,0,9513.696,9513.696,1,1,0
"MEX","CRI",2003,2751030,105640.453,4125.971,1967210,21.1657,63.26632,0.5020568946,527.5446,19.41667,-99.16666,0,0,1933.061,1933.061,1,1,0
"RUS","CRI",2003,4353070,144584.695,4125.971,17075400,-4.79935583333333,35.56585,0.59128269,1554.244,55.75,37.7,0,0,10967.48,10967.48,0,1,0
"GEO","CRI",2004,66851.9453125,4533.329,4187.038,69700,7.3926075,84.07225,0.7973805104,99.30022,41.71667,44.81667,0,0,12270.71,12270.71,1,1,0
"JPN","CRI",2004,13920323,128213.632,4187.038,377801,11.97146,138.622883333333,0.2392235646,231.188,35.66667,139.75,0,0,13182.38,13182.38,1,1,0
"MWI","CRI",2004,32752.3125,12676.038,4187.038,118484,22.237025,97.7745525,0.5146624171,129.4684,-13.96667,33.81667,1,0,13273.86,13273.86,1,1,0
"PRT","CRI",2004,1020833,10528.268,4187.038,92389,15.2482825,50.2605925,0.6276298066,114.3257,38.73333,-9.133333,0,0,8019.192,8019.192,1,1,0
"QAT","CRI",2004,113945.6015625,758.855,4187.038,11437,27.788175,6.23937916666667,0.9037242884,40.22443,25.25,51.53333,0,0,13826.36,13826.36,1,1,0
"GIN","CRI",2004,15743.80078125,9490.229,4187.038,245857,26.52975,143.783893333333,0.5044221808,186.4984,9.516666,-15.71667,0,0,7482.792,7482.792,1,1,0
"NGA","CRI",2005,881227.625,138939.478,4247.841,923768,27.4596416666667,87.1393233333333,0.3305946007,361.5058,6.45,3.466667,0,0,9623.901,9974.364,1,1,0
"CHL","CRI",2005,553738.4375,16147.064,4247.841,756945,8.32112,55.9165333333333,0.7161676087,327.2397,-33.5,-70.66666,0,0,5043.452,5043.452,1,1,0
"DMA","CRI",2005,711.126953125,70.627,4247.841,751,25.1025666666667,328.096075,0.8937570915,10.30751,15.3,-61.38334,0,0,2531.755,2531.755,1,1,0
"BRB","CRI",2005,7322.12158203125,274.009,4247.841,431,27.2791083333333,227.381758333333,0.9566751341,7.808587,13.1,-59.61666,0,0,2687.524,2687.524,1,1,0
"BRN","CRI",2006,76002.140625,370.25,4308.794,5765,25.6862,289.86325,0.9694114936,28.55837,4.933333,114.9667,0,0,17348.79,17348.79,1,1,0
"TUN","CRI",2006,273233.1875,10196.136,4308.794,164150,20.6589825,26.9784391666667,0.939378509,152.3892,36.83333,10.21667,0,0,9729.521,9729.521,1,1,0
"LBR","CRI",2007,4866.90283203125,3512.932,4369.469,111369,25.7865583333333,196.170066666667,3.1135411509,125.5209,6.333333,-10.76667,0,0,8071.195,8071.195,0,1,0
"MAR","CRI",2007,531038.375,31225.881,4369.469,710850,17.9844,18.8918825,0.7848717434,317.1194,34.03333,-6.85,0,0,8223.02,8223.02,1,1,0
"DJI","CRI",2007,7254.7783203125,809.402,4369.469,23200,28.102175,18.8023658333333,NA,57.28986,11.6,43.15,0,0,13720.32,13720.32,1,1,0
"FJI","CRI",2007,9446.4345703125,834.812,4369.469,18333,24.484825,239.352866666667,1.1063382327,50.92729,-18.13333,178.4167,0,0,11147.68,11147.68,1,1,0
"GEO","CRI",2008,71670.03125,4340.514,4429.508,69700,7.18255166666667,68.2299333333333,0.8702354955,99.30022,41.71667,44.81667,0,0,12270.71,12270.71,1,1,0
"CRI","CRI",2008,118508.1328125,4429.508,4429.508,51076,24.7431833333333,304.136975,0.8693442958,85.00456,9.983334,-84.06667,0,0,85.00456,85.00456,1,1,0
"UGA","CRI",2008,96493.59375,31663.896,4429.508,241038,24.0638666666667,98.038325,0.562582682,184.6616,0.3333333,32.58333,1,0,12927.46,12927.46,1,1,0
"OMN","CRI",2009,308052.5,2882.942,4488.263,212379,26.16815,5.94841333333333,0.8528215079,173.3363,23.61667,58.63334,0,0,14515.44,14515.44,1,1,0
"MUS","CRI",2009,55708.8125,1244.024,4488.263,2045,24.3119666666667,158.852933333333,1.0442972895,17.00907,-20.16667,57.5,0,0,15762.52,15762.52,1,1,0
"KEN","CRI",2009,184419.75,40237.204,4488.263,582646,25.6169833333333,55.0265,0.5086364157,287.102,-1.283333,36.83333,0,0,13426.24,13426.24,1,1,0
"NOR","CRI",2010,1055882.875,4885.878,4545.28,323752,0.0426541666666667,77.2261916666667,0.681900916,214.0129,59.91667,10.75,0,0,9323.294,9323.294,1,1,0
"BRA","CRI",2010,9869311,196796.269,4545.28,8511920,25.8172416666667,146.542658333333,0.225174074,1097.356,-23.53,-46.63,0,0,5523.376,4908.824,1,1,0
"SVN","CRI",2010,259364.4375,2045.168,4545.28,20256,9.22444333333333,131.991583333333,1.2714133017,53.53165,46.06667,14.5,0,0,9869.865,9869.865,1,1,0
"MUS","CRI",2011,73533.6953125,1251.023,4600.474,2045,24.3230916666667,147.569608333333,1.1753894637,17.00907,-20.16667,57.5,0,0,15762.52,15762.52,1,1,0
"KEN","CRI",2011,241457.90625,42486.839,4600.474,582646,25.35425,54.3648666666667,0.6044867332,287.102,-1.283333,36.83333,0,0,13426.24,13426.24,1,1,0
"IDN","CRI",2011,11097780,245707.511,4600.474,1933658,25.8705333333333,254.830166666667,0.5018001319,523.0264,-6.133333,106.75,0,0,18767.43,18767.43,1,1,0
"GEO","CRI",2011,64975.3359375,4171.256,4600.474,69700,6.51753083333333,86.9511916666667,0.9101649255,99.30022,41.71667,44.81667,0,0,12270.71,12270.71,1,1,0
"HND","CRI",2011,110959.421875,8351.6,4600.474,112088,24.118675,162.439216666667,1.222169026,125.9254,14.08333,-87.23333,0,0,571.8347,571.8347,1,1,0
"BWA","CRI",2011,109925.4609375,2051.339,4600.474,600372,21.99065,41.74118,1.0354557878,291.4366,-24.75,25.91667,1,0,12490.49,12490.49,1,1,0
"BRA","CRI",2012,12137529,200560.983,4654.122,8511920,25.7098083333333,137.725,0.2476530502,1097.356,-23.53,-46.63,0,0,5523.376,4908.824,1,1,0
"TGO","CRI",2012,24159.919921875,6859.482,4654.122,56785,27.3225333333333,97.9910341666667,1.0698614745,89.62943,6.166667,1.35,0,0,9398.243,9398.243,1,1,0
"AGO","CRI",2012,683897.6875,25096.15,4654.122,1246700,21.51605,83.7099708333333,0.918000986,419.9666,-8.833333,13.25,0,0,10980.7,10980.7,1,1,0
"SGP","CRI",2013,1508081.25,5360.837,4706.401,646,27.9048916666667,249.22875,3.656931619,9.559828,1.283333,103.85,0,0,18503.56,18503.56,1,1,0
"NIC","CRI",2013,85710.2578125,5945.747,4706.401,130670,25.0354166666667,187.924616666667,1.1098420788,135.9633,12.1,-86.3,0,1,339.1337,339.1337,1,1,0
"PRY","CRI",2013,130718.7890625,6465.74,4706.401,406752,23.4804583333333,89.2829,0.7063643775,239.8826,-25.25,-57.66667,1,0,4855.032,4855.032,1,1,0
"CYP","CRI",2013,135996.359375,1143.896,4706.401,9251,19.7131583333333,24.1335425,1.158864507,36.17663,35.15,33.35,0,0,11766.86,11766.86,1,1,0
"CHL","CRI",2013,1095350.625,17462.982,4706.401,756945,8.5956575,46.2109833333333,0.649734766,327.2397,-33.5,-70.66666,0,0,5043.452,5043.452,1,1,0
"MWI","CRI",2013,55952.21875,16577.147,4706.401,118484,22.353025,91.5058775,0.7826910655,129.4684,-13.96667,33.81667,1,0,13273.86,13273.86,1,1,0
"POL","CRI",2013,2052220.125,38309.451,4706.401,312685,8.69297166666667,53.87865,0.9069186641,210.3233,52.25,21,0,0,10142.28,10142.28,1,1,0
"ISR","CRI",2013,755958.25,7821.105,4706.401,21621,20.8082,23.6644433333333,0.647215838,55.30593,32.08333,34.76667,0,0,12029.2,12029.2,1,1,0
"TUR","CRI",2014,4605440.5,77030.628,4757.575,780576,12.6270683333333,50.3103,0.5141410109,332.3085,39.93,32.85,0,0,11149.45,11500.88,1,1,0
"CAN","CRI",2014,6097224.5,35604.728,4757.575,9976139,-6.36397416666667,39.624075,0.6405762293,1187.996,45.42,-75.71,0,0,3774.394,4024.094,1,1,0
"SEN","CRI",2014,114526.9921875,14546.111,4757.575,196722,28.6446916666667,56.1285775,0.5844252897,166.8247,14.63333,-17.45,0,0,7238.872,7238.872,1,1,0
"GNB","CRI",2014,5404.1005859375,1725.744,4757.575,36125,27.532875,111.218555833333,0.5159301419,71.48875,11.86667,-15.65,0,0,7460.788,7460.788,1,1,0
"ZWE","CRI",2014,86134.53125,15411.675,4757.575,390759,21.6434,54.6500033333333,0.5467161542,235.1193,-17.83333,31.05,1,0,13000.92,13000.92,1,1,0
"CYP","CRI",2014,131595.765625,1152.309,4757.575,9251,19.9831,31.7565591666667,1.2231814005,36.17663,35.15,33.35,0,0,11766.86,11766.86,1,1,0
"HUN","CRI",2014,1065811.75,9813.335,4757.575,93032,12.1349941666667,64.4232583333333,1.6892383042,114.7229,47.5,19.05,1,0,10164.74,10164.74,1,1,0
"NOR","CRI",2014,1294501.25,5140.311,4757.575,323752,2.88281166666667,85.836525,0.6856614861,214.0129,59.91667,10.75,0,0,9323.294,9323.294,1,1,0
"TUN","CUB",2002,225788.8125,9864.326,11217.998,164150,20.5711308333333,17.5109466666667,0.8534165719,152.3892,36.83333,10.21667,0,0,8722.835,8722.835,1,1,0
"ISL","CUB",2002,40019.08203125,285.329,11217.998,102819,2.62645083333333,102.113283333333,0.7020223835,120.6064,64.15,-21.96667,0,0,6294.877,6294.877,1,1,0
"AGO","CUB",2002,188344.671875,17572.649,11217.998,1246700,22.0158333333333,87.3165766666667,1.053017426,419.9666,-8.833333,13.25,0,0,10977.25,10977.25,1,1,0
"DJI","CUB",2002,4311.43212890625,746.221,11217.998,23200,28.588225,18.2593725,NA,57.28986,11.6,43.15,0,0,12958.37,12958.37,1,1,0
"MDV","CUB",2002,2479.0908203125,294.341,11217.998,298,28.3070166666667,172.897583333333,NA,6.492948,4.166667,73.46667,0,0,16023.5,16023.5,1,1,0
"KEN","CUB",2002,107070.421875,33214.009,11217.998,582646,25.5432166666667,61.8221833333333,0.5517267226,287.102,-1.283333,36.83333,0,0,13051.23,13051.23,1,1,0
"LVA","CUB",2002,98454.828125,2332.492,11217.998,64589,7.08623166666667,47.955745,0.8329865846,95.59013,56.95,24.1,0,0,8820.729,8820.729,1,1,0
"UKR","CUB",2002,1692744.375,47979.592,11217.998,603677,9.4558625,45.0629166666667,1.0065650073,292.2376,50.41667,30.5,0,0,9542.158,9542.158,0,1,0
"ZAF","CUB",2003,801470.625,47648.727,11244.885,1219912,18.269825,30.2841816666667,0.5140183109,415.4302,-33.93333,18.46667,0,0,12387.51,13082.66,1,1,0
"GEO","CUB",2003,62185.953125,4579.082,11244.885,69700,6.584225,86.2680333333333,0.7825972701,99.30022,41.71667,44.81667,0,0,11003.7,11003.7,1,1,0
"KEN","CUB",2003,107015.4140625,34130.852,11244.885,582646,25.4773083333333,53.25278,0.541322659,287.102,-1.283333,36.83333,0,0,13051.23,13051.23,1,1,0
"URY","CUB",2003,110464.4765625,3325.637,11244.885,176215,17.51305,127.421341666667,0.5175919959,157.8902,-34.91667,-56.16667,0,0,7028.569,7028.569,1,1,0
"SUR","CUB",2004,17005.095703125,493.63,11266.941,163820,26.0449833333333,180.643841666667,NA,152.236,5.866667,-55.23333,0,0,3489.664,3489.664,1,1,0
"EST","CUB",2004,56454.2734375,1363.565,11266.941,45227,6.00418,61.9820016666667,1.3091275062,79.98945,59.41667,24.75,0,0,8733.678,8733.678,1,1,0
"JOR","CUB",2004,94356.8671875,5535.595,11266.941,91862,19.3051133333333,6.58298166666667,1.3500108359,113.9992,31.95,35.93333,0,0,11059.81,11059.81,1,1,0
"ZAF","CUB",2004,848315.6875,48247.395,11266.941,1219912,18.44405,39.563615,0.5107803414,415.4302,-25.73,28.22,0,0,12387.51,13082.66,1,1,0
"ISR","CUB",2004,592741.6875,6468.827,11266.941,21621,20.4958916666667,18.7698883333333,0.7818030728,55.30593,32.08333,34.76667,0,0,10960.7,10960.7,1,1,0
"SEN","CUB",2004,59233.359375,10955.944,11266.941,196722,28.826625,56.9190433333333,0.6690739929,166.8247,14.63333,-17.45,0,0,6855.256,6855.256,1,1,0
"HTI","CUB",2004,86913.9296875,9119.178,11266.941,27750,25.091875,118.264141666667,0.5936375875,62.65638,18.55,-72.33334,0,0,1165.037,1165.037,1,1,0
"CHL","CUB",2004,502932.03125,15973.778,11266.941,756945,8.7288425,47.9579916666667,0.6973366335,327.2397,-33.5,-70.66666,0,0,6423.36,6423.36,1,1,0
"MWI","CUB",2004,32752.3125,12676.038,11266.941,118484,22.237025,97.7745525,0.5146624171,129.4684,-13.96667,33.81667,1,0,13277.21,13277.21,1,1,0
"LSO","CUB",2005,9586.92578125,1949.543,11284.253,30355,13.62789,50.5108891666667,NA,65.53132,-29.31667,27.48333,1,0,13102.42,13102.42,1,1,0
"CHL","CUB",2005,553738.4375,16147.064,11284.253,756945,8.32112,55.9165333333333,0.7161676087,327.2397,-33.5,-70.66666,0,0,6423.36,6423.36,1,1,0
