"iso_o","iso_d","year","ck","pop_o","pop_d","area","temperature","rainfall","TO","dis_int","lat","lon","landlocked","contig","dist","distcap","wto_o","wto_d","rta"
"ZWE","ABW",2007,13219.08203125,13329.909,101.22,390759,21.8126,56.1862566666667,0.8417290443,235.1193,-17.83333,31.05,1,0,11603.47,11603.47,1,NA,0
"TUN","ABW",2007,305159.625,10298.087,101.22,164150,20.5586916666667,23.8521258333333,1.0407547215,152.3892,36.83333,10.21667,0,0,8328.585,8328.585,1,NA,0
"FIN","ABW",2007,798444,5298.014,101.22,336593,2.85025083333333,50.6582166666667,0.831759422,218.2159,60.13334,25,0,0,9087.563,9087.563,1,NA,0
"NZL","ABW",2007,366549.0625,4233.151,101.22,268676,10.1211466666667,127.021158333333,0.5837106494,194.9612,-44.28333,174.7833,0,0,12981.52,12981.52,1,NA,0
"BRA","ABW",2008,7742464.5,192979.029,101.353,8511920,25.37395,158.56665,0.2725756946,1097.356,-15.78,-47.91,0,0,4759.608,3988.915,1,NA,0
"BLZ","ABW",2008,3610.93627929688,306.165,101.353,22963,25.6239916666667,178.739316666667,1.3202421788,56.99649,17.21667,-88.8,0,0,2076.216,2076.216,1,NA,0
"KWT","ABW",2008,375182.1875,2652.34,101.353,17818,26.3378666666667,4.23693083333333,0.9268298839,50.20689,29.33333,48,0,0,11922.28,11922.28,1,NA,0
"CAN","ABW",2008,4607175.5,33404.548,101.353,9976139,-6.56081416666667,40.7108333333333,0.6692423059,1187.996,45.42,-75.71,0,0,3573.887,3696.783,1,NA,0
"MEX","ABW",2008,4036199.75,113661.809,101.353,1967210,21.0213333333333,65.4208216666667,0.5777703093,527.5446,19.41667,-99.16666,0,0,3197.777,3197.777,1,NA,0
"CAF","ABW",2008,10219.2490234375,4345.386,101.353,622984,25.485375,111.3786925,0.3443752181,296.8741,4.383333,18.61667,1,0,9771.96,9771.96,1,NA,0
