"country","iso3","area","dis_int","lat","lon","landlocked"
"Iran","IRN",1648100,482.8648,35.66667,51.43333,0
"Iraq","IRQ",437072,248.6625,33.33333,44.43333,0
"Iceland","ISL",102819,120.6064,64.15,-21.96667,0
"Israel","ISR",21621,55.30593,32.08333,34.76667,0
"Italy","ITA",301323,206.4667,41.88334,12.5,0
"Jamaica","JAM",10991,39.43233,17.96667,-76.8,0
"Jordan","JOR",91862,113.9992,31.95,35.93333,0
"Japan","JPN",377801,231.188,35.66667,139.75,0
"Kazakstan","KAZ",2717300,620.0156,51.17,71.47,1
"Kazakstan","KAZ",2717300,620.0156,43.25,76.95,1
"Kenya","KEN",582646,287.102,-1.283333,36.83333,0
"Kyrgyzstan","KGZ",198500,167.5769,42.9,74.6,1
"Cambodia","KHM",181035,160.035,11.58333,104.9167,0
"Kiribati","KIR",717,10.07148,1.383333,173.15,0
"Saint Kitts and Nevis","KNA",269,6.168931,17.28333,-62.71667,0
"Korea","KOR",99484,118.6343,37.5,127,0
"Kuwait","KWT",17818,50.20689,29.33333,48,0
"Lao People's Democratic Republic","LAO",236800,183.031,17.98333,102.6333,1
"Lebanon","LBN",10452,38.45329,33.86666,35.5,0
"Liberia","LBR",111369,125.5209,6.333333,-10.76667,0
"Libyan Arab Jamahiriya","LBY",1759540,498.9228,32.73333,13.11667,0
"Saint Lucia","LCA",617,9.342786,14.01667,-60.98333,0
"Sri Lanka","LKA",65610,96.3427,6.916667,79.86667,0
"Lesotho","LSO",30355,65.53132,-29.31667,27.48333,1
"Lithuania","LTU",65300,96.11483,54.68333,25.31667,0
"Luxembourg","LUX",2586,19.12705,49.6,6.15,1
"Latvia","LVA",64589,95.59013,56.95,24.1,0
"Macau (Aomen)","MAC",25,1.880632,22.27,113.56,0
"Morocco","MAR",710850,317.1194,34.03333,-6.85,0
"Moldova, Rep.of","MDA",33700,69.04763,47,28.83333,0
"Madagascar","MDG",587041,288.1828,-18.86667,47.5,0
"Maldives","MDV",298,6.492948,4.166667,73.46667,0
"Mexico","MEX",1967210,527.5446,19.41667,-99.16666,0
"Marshall Islands","MHL",181,5.060263,7.15,171.2,0
"Macedonia (the former Yugoslav Rep. of)","MKD",25713,60.3129,42,21.46667,1
"Mali","MLI",1240142,418.8606,12.66667,-7.983333,1
"Malta","MLT",316,6.686169,35.9,14.53333,0
"Burma","MMR",678500,309.8195,16.78333,96.16666,0
"Mongolia","MNG",1565500,470.6091,47.9,106.8667,1
"Northern Mariana Islands","MNP",477,8.214725,15.2,145.75,0
"Mozambique","MOZ",801590,336.7518,-25.96667,32.58333,0
"Mauritania","MRT",1030700,381.8563,18.15,-15.96667,0
"Montserrat","MSR",102,3.79869,16.7,-62.21667,0
"Martinique","MTQ",1100,12.4747,14.6,-61.08333,0
"Mauritius","MUS",2045,17.00907,-20.16667,57.5,0
"Malawi","MWI",118484,129.4684,-13.96667,33.81667,1
"Malaysia","MYS",329758,215.9889,3.133333,101.7,0
"Namibia","NAM",825518,341.741,-22.56667,17.1,0
"New Caledonia","NCL",19060,51.92724,-22.26667,166.45,0
"Niger","NER",1267000,423.372,13.53333,2.083333,1
"Norfolk Island","NFK",35,2.225194,-29.05,167.9667,0
"Nigeria","NGA",923768,361.5058,6.45,3.466667,0
"Nigeria","NGA",923768,361.5058,9.18,7.17,0
"Nicaragua","NIC",130670,135.9633,12.1,-86.3,0
"Niue","NIU",260,6.064856,-19.01667,-169.9167,0
"Netherlands","NLD",41863,76.95715,52.35,4.9,0
"Norway","NOR",323752,214.0129,59.91667,10.75,0
"Nepal","NPL",147181,144.2978,27.7,85.31667,1
"Nauru","NRU",21,1.723628,-0.5333334,166.9167,0
"New Zealand","NZL",268676,194.9612,-44.28333,174.7833,0
"Oman","OMN",212379,173.3363,23.61667,58.63334,0
"Pakistan","PAK",882872,353.4131,33.66667,73.13333,0
"Palestine","PAL",6256,29.74967,31.53,34.44,0
"Panama","PAN",75648,103.4505,8.95,-79.5,0
