"Country_iso","Year","Rainfall"
"SOM",1901,25.6165625
"SRB",1901,68.70075
"STP",1901,187.210433333333
"SUR",1901,200.880658333333
"SVK",1901,65.7495583333333
"SVN",1901,127.286075
"SWE",1901,37.3603833333333
"SWZ",1901,138.974525
"SYC",1901,159.300908333333
"SYR",1901,17.0821858333333
"TCA",1901,129.259183333333
"TCD",1901,27.7927375
"TGO",1901,107.405481666667
"THA",1901,133.253066666667
"TJK",1901,27.73794
"TKL",1901,223.78825
"TKM",1901,10.2528266666667
"TLS",1901,127.382930833333
"TON",1901,143.995533333333
"TTO",1901,135.520475
"TUN",1901,23.3139366666667
"TUR",1901,45.9482333333333
"TUV",1901,249.267083333333
"TZA",1901,63.1348875
"UGA",1901,79.557275
"UKR",1901,44.055075
"URY",1901,74.235625
"USA",1901,49.8726416666667
"UZB",1901,15.1015508333333
"VCT",1901,131.09965
"VEN",1901,159.076375
"VGB",1901,235.662741666667
"VIR",1901,241.058066666667
"VNM",1901,143.644091666667
"VUT",1901,232.521
"WLF",1901,246.685916666667
"WSM",1901,221.707708333333
"XRK",1901,88.0515833333333
"YEM",1901,15.0313583333333
"ZAF",1901,48.2655583333333
"ZAR",1901,124.895383333333
"ZMB",1901,81.1194533333333
"ZWE",1901,67.8881633333333
"ABW",1902,63.277825
"AFG",1902,19.3096425
"AGO",1902,80.6383725
"AIA",1902,145.7144
"ALB",1902,91.4759666666667
"AND",1902,64.6817666666667
"ANT",1902,53.0688716666667
"ARE",1902,2.941165
"ARG",1902,40.2999166666667
"ARM",1902,40.199325
"ASM",1902,189.219816666667
"ATG",1902,212.416266666667
"AUS",1902,25.9938741666667
"AUT",1902,93.46855
"AZE",1902,37.61045
"BDI",1902,91.5691025
"BEL",1902,58.65425
"BEN",1902,85.1373475
"BFA",1902,68.0575241666667
"BGD",1902,190.209363333333
"BGR",1902,45.7016416666667
"BHR",1902,1.83748916666667
"BHS",1902,89.399425
"BIH",1902,98.04915
"BLR",1902,55.256125
"BLZ",1902,147.849075
"BMU",1902,122.4164
"BOL",1902,91.4807916666667
"BRA",1902,145.806291666667
"BRB",1902,184.363983333333
"BRN",1902,280.636333333333
"BTN",1902,154.989745
"BWA",1902,30.2795258333333
"CAF",1902,113.302080833333
"CAN",1902,38.4813583333333
"CCK",1902,173.416666666667
"CHE",1902,124.328933333333
"CHL",1902,59.2143916666667
"CHN",1902,41.5806808333333
"CIV",1902,112.0103425
"CMR",1902,142.9293
"COG",1902,133.474866666667
"COK",1902,154.148483333333
"COL",1902,200.75845
"COM",1902,135.328575
"CPV",1902,32.0081816666667
"CRI",1902,227.168466666667
"CUB",1902,99.0414416666667
"CXR",1902,204.09965
"CYM",1902,99.274825
"CYP",1902,39.91308
"CZE",1902,53.311025
"DEU",1902,55.0171166666667
"DJI",1902,7.95353333333333
"DMA",1902,273.467691666667
"DNK",1902,48.428
"DOM",1902,119.734966666667
"DZA",1902,8.52263
"ECU",1902,167.404391666667
"EGY",1902,3.25102833333333
"ERI",1902,14.1784158333333
"ESH",1902,3.0893475
"ESP",1902,53.5657125
"EST",1902,56.188405
"ETH",1902,63.5496641666667
"FIN",1902,46.3661958333333
"FJI",1902,216.476583333333
"FLK",1902,45.40535
"FRA",1902,64.3298916666667
"FRO",1902,139.303533333333
"FSM",1902,319.296833333333
"GAB",1902,144.668086666667
"GBR",1902,79.855225
"GEO",1902,76.689875
"GHA",1902,97.8016625
"GIB",1902,68.49225
"GIN",1902,133.0383925
"GLP",1902,277.904458333333
"GMB",1902,66.4515708333333
"GNB",1902,112.959786666667
"GNQ",1902,200.919266666667
"GRC",1902,48.80267
"GRD",1902,129.666491666667
"GRL",1902,43.569375
"GTM",1902,206.53245
"GUF",1902,276.868525
"GUM",1902,640.94325
"GUY",1902,206.910641666667
"HND",1902,160.362541666667
"HRV",1902,93.5012583333333
"HTI",1902,118.2646
"HUN",1902,56.2947733333333
"IDN",1902,211.25025
"IND",1902,81.0858941666667
"IOT",1902,202.583333333333
"IRL",1902,80.88505
"IRN",1902,19.9647183333333
"IRQ",1902,17.2225491666667
"ISL",1902,64.383325
"ISR",1902,26.8485958333333
"ITA",1902,79.4253416666667
"JAM",1902,134.6183
"JOR",1902,10.5450808333333
"JPN",1902,146.205075
"KAZ",1902,23.8459075
"KEN",1902,61.7148675
"KGZ",1902,42.0103583333333
"KHM",1902,145.426476666667
"KIR",1902,92.3210333333333
"KNA",1902,196.6455
"KOR",1902,102.484198333333
"KWT",1902,9.61075666666667
"LAO",1902,137.93495
"LBN",1902,62.709415
"LBR",1902,200.462708333333
"LBY",1902,4.06492
