"Country_iso","Year","Temperature"
"ABW",1901,27.6422416666667
"AFG",1901,13.1032058333333
"AGO",1901,21.4550583333333
"AIA",1901,24.9125
"ALB",1901,10.9979266666667
"AND",1901,10.7863366666667
"ANT",1901,27.4499916666667
"ARE",1901,27.0604916666667
"ARG",1901,14.7897541666667
"ARM",1901,7.78498833333333
"ASM",1901,26.2783083333333
"ATG",1901,25.2217916666667
"AUS",1901,21.4687666666667
"AUT",1901,5.27303666666667
"AZE",1901,11.5588575
"BDI",1901,20.130925
"BEL",1901,8.92230916666667
"BEN",1901,27.0583083333333
"BFA",1901,27.6560583333333
"BGD",1901,24.8287333333333
"BGR",1901,10.58834
"BHR",1901,27.3987916666667
"BHS",1901,23.632375
"BIH",1901,8.80908416666667
"BLR",1901,6.77362916666667
"BLZ",1901,24.9324833333333
"BMU",1901,20.9333166666667
"BOL",1901,21.55035
"BRA",1901,25.0687083333333
"BRB",1901,25.948975
"BRN",1901,25.3351083333333
"BTN",1901,11.3578358333333
"BWA",1901,21.40225
"CAF",1901,24.8692083333333
"CAN",1901,-7.070995
"CCK",1901,26.433325
"CHE",1901,4.69473666666667
"CHL",1901,9.02789916666667
"CHN",1901,6.14990083333333
"CIV",1901,26.2197166666667
"CMR",1901,24.5052916666667
"COG",1901,24.4940416666667
"COK",1901,24.146575
"COL",1901,24.3684416666667
"COM",1901,25.0809583333333
"CPV",1901,23.1552916666667
"CRI",1901,24.4073583333333
"CUB",1901,24.7062083333333
"CXR",1901,25.6583083333333
"CYM",1901,26.6499833333333
"CYP",1901,18.4801441666667
"CZE",1901,7.1100625
"DEU",1901,7.84806916666667
"DJI",1901,28.350975
"DMA",1901,23.9524583333333
"DNK",1901,7.49686083333333
"DOM",1901,23.6370416666667
"DZA",1901,22.4997083333333
"ECU",1901,21.491075
"EGY",1901,22.337025
"ERI",1901,26.6970583333333
"ESH",1901,23.2615416666667
"ESP",1901,12.0326791666667
"EST",1901,5.2403
"ETH",1901,22.73835
"FIN",1901,1.4959825
"FJI",1901,24.137
"FLK",1901,5.97419
"FRA",1901,10.1771633333333
"FRO",1901,6.00842666666667
"FSM",1901,27.0633833333333
"GAB",1901,24.8403833333333
"GBR",1901,8.08735
"GEO",1901,7.18290083333333
"GHA",1901,26.848625
"GIB",1901,16.7224916666667
"GIN",1901,25.9678
"GLP",1901,24.33225
"GMB",1901,27.3622916666667
"GNB",1901,27.0831416666667
"GNQ",1901,24.4346666666667
"GRC",1901,13.7021933333333
"GRD",1901,26.4833166666667
"GRL",1901,-18.1761416666667
"GTM",1901,23.2078833333333
"GUF",1901,25.5189166666667
"GUM",1901,27.404075
"GUY",1901,25.7029333333333
"HND",1901,23.3257833333333
"HRV",1901,9.71631583333333
"HTI",1901,24.0177333333333
"HUN",1901,9.4992175
"IDN",1901,25.802025
"IND",1901,24.033775
"IOT",1901,27.4333333333333
"IRL",1901,8.7308275
"IRN",1901,17.1301441666667
"IRQ",1901,21.6212041666667
"ISL",1901,1.68649166666667
"ISR",1901,19.0139316666667
"ITA",1901,11.08004
"JAM",1901,24.4744083333333
"JOR",1901,18.1626608333333
"JPN",1901,9.78605583333333
"KAZ",1901,5.31991166666667
"KEN",1901,24.41135
"KGZ",1901,1.32164333333333
"KHM",1901,26.931125
"KIR",1901,27.5069916666667
"KNA",1901,24.283325
"KOR",1901,10.2502041666667
"KWT",1901,25.4007916666667
"LAO",1901,23.34935
"LBN",1901,15.423655
"LBR",1901,25.7216333333333
"LBY",1901,21.7303583333333
"LCA",1901,25.4888416666667
"LIE",1901,1.63425416666667
"LKA",1901,26.546875
"LSO",1901,11.912045
"LTU",1901,6.61514083333333
"LUX",1901,8.17498583333333
"LVA",1901,5.89417416666667
"MAC",1901,22.6096
"MAR",1901,17.7355025
"MCO",1901,8.6052575
"MDA",1901,9.56106333333333
"MDG",1901,22.359825
"MDV",1901,27.7192416666667
"MEX",1901,20.0944166666667
"MHL",1901,27.60385
"MKD",1901,9.41338833333333
"MLI",1901,27.77705
"MLT",1901,19.0469083333333
"MMR",1901,23.0588333333333
"MNE",1901,8.08648416666667
"MNG",1901,-0.886665833333333
"MNP",1901,27.35
"MOZ",1901,23.1407333333333
"MRT",1901,27.0608083333333
"MSR",1901,25.1225666666667
"MTQ",1901,24.104225
"MUS",1901,22.5115416666667
"MWI",1901,21.5158166666667
"MYS",1901,25.27315
"MYT",1901,25.9692666666667
"NAM",1901,19.8658416666667
"NCL",1901,22.367275
"NER",1901,27.0672
"NFK",1901,18.4749916666667
"NGA",1901,26.6472916666667
"NIC",1901,24.6333333333333
"NIU",1901,24.25415
"NLD",1901,8.8122625
"NOR",1901,0.967154166666667
"NPL",1901,12.1775158333333
"NRU",1901,27.7333083333333
"NZL",1901,9.077665
"OMN",1901,25.57905
"PAK",1901,19.9416883333333
"PAN",1901,25.163125
"PCN",1901,20.84165
"PER",1901,19.3560333333333
"PHL",1901,25.744425
"PLW",1901,27.6059083333333
"PNG",1901,25.0085833333333
"POL",1901,7.925345
"PRI",1901,24.63275
"PRK",1901,5.868975
"PRT",1901,13.6523558333333
"PRY",1901,24.0291083333333
"PSE",1901,18.7695216666667
"PYF",1901,24.1962666666667
"QAT",1901,27.4167333333333
"REU",1901,20.1119916666667
"ROM",1901,8.87878416666667
"RUS",1901,-6.5305675
"RWA",1901,19.1900916666667
"SAU",1901,24.9019
"SDN",1901,27.3451166666667
"SEN",1901,27.8733416666667
"SGP",1901,26.9269083333333
"SHN",1901,18.0874833333333
"SJM",1901,-8.93926333333333
