pr,"	Year", Month, Country, ISO3, ISO2
81.1354,1901,1,NIC,,
57.4458,1901,2,NIC,,
57.8513,1901,3,NIC,,
31.3859,1901,4,NIC,,
174.018,1901,5,NIC,,
347.192,1901,6,NIC,,
452.816,1901,7,NIC,,
312.38,1901,8,NIC,,
320.989,1901,9,NIC,,
358.496,1901,10,NIC,,
220.978,1901,11,NIC,,
128.528,1901,12,NIC,,
86.1612,1902,1,NIC,,
79.9667,1902,2,NIC,,
58.6836,1902,3,NIC,,
93.199,1902,4,NIC,,
234.417,1902,5,NIC,,
303.621,1902,6,NIC,,
317.215,1902,7,NIC,,
226.526,1902,8,NIC,,
270.493,1902,9,NIC,,
261.997,1902,10,NIC,,
168.99,1902,11,NIC,,
88.6626,1902,12,NIC,,
84.9992,1903,1,NIC,,
35.9569,1903,2,NIC,,
27.9114,1903,3,NIC,,
42.0815,1903,4,NIC,,
251.775,1903,5,NIC,,
371.129,1903,6,NIC,,
348.037,1903,7,NIC,,
331.516,1903,8,NIC,,
268.15,1903,9,NIC,,
299.455,1903,10,NIC,,
151.743,1903,11,NIC,,
317.745,1903,12,NIC,,
309.141,1904,1,NIC,,
79.9667,1904,2,NIC,,
100.26,1904,3,NIC,,
66.0382,1904,4,NIC,,
207.851,1904,5,NIC,,
376.826,1904,6,NIC,,
296.274,1904,7,NIC,,
251.251,1904,8,NIC,,
254.537,1904,9,NIC,,
266.803,1904,10,NIC,,
154.993,1904,11,NIC,,
152.664,1904,12,NIC,,
75.7056,1905,1,NIC,,
35.1813,1905,2,NIC,,
64.4959,1905,3,NIC,,
39.8501,1905,4,NIC,,
219.603,1905,5,NIC,,
336.85,1905,6,NIC,,
530.242,1905,7,NIC,,
259.67,1905,8,NIC,,
274.679,1905,9,NIC,,
309.376,1905,10,NIC,,
158.24,1905,11,NIC,,
176.957,1905,12,NIC,,
97.0006,1906,1,NIC,,
47.0916,1906,2,NIC,,
25.1455,1906,3,NIC,,
78.7492,1906,4,NIC,,
179.256,1906,5,NIC,,
432.074,1906,6,NIC,,
367.538,1906,7,NIC,,
265.107,1906,8,NIC,,
257.386,1906,9,NIC,,
290.134,1906,10,NIC,,
146.674,1906,11,NIC,,
116.978,1906,12,NIC,,
66.0317,1907,1,NIC,,
39.0632,1907,2,NIC,,
26.5317,1907,3,NIC,,
31.0255,1907,4,NIC,,
164.963,1907,5,NIC,,
346.566,1907,6,NIC,,
340.945,1907,7,NIC,,
231.843,1907,8,NIC,,
252.806,1907,9,NIC,,
281.681,1907,10,NIC,,
172.651,1907,11,NIC,,
128.703,1907,12,NIC,,
66.0317,1908,1,NIC,,
35.1813,1908,2,NIC,,
32.2118,1908,3,NIC,,
51.2704,1908,4,NIC,,
234.161,1908,5,NIC,,
398.589,1908,6,NIC,,
363.119,1908,7,NIC,,
252.994,1908,8,NIC,,
264.403,1908,9,NIC,,
348.187,1908,10,NIC,,
161.842,1908,11,NIC,,
149.617,1908,12,NIC,,
134.162,1909,1,NIC,,
48.3827,1909,2,NIC,,
24.0331,1909,3,NIC,,
73.9757,1909,4,NIC,,
195.804,1909,5,NIC,,
323.593,1909,6,NIC,,
446.028,1909,7,NIC,,
344.393,1909,8,NIC,,
296.954,1909,9,NIC,,
292.398,1909,10,NIC,,
181.504,1909,11,NIC,,
221.56,1909,12,NIC,,
177.91,1910,1,NIC,,
35.1813,1910,2,NIC,,
42.8809,1910,3,NIC,,
43.6481,1910,4,NIC,,
171.836,1910,5,NIC,,
298.641,1910,6,NIC,,
391.464,1910,7,NIC,,
255.681,1910,8,NIC,,
297.047,1910,9,NIC,,
293.463,1910,10,NIC,,
171.29,1910,11,NIC,,
134.824,1910,12,NIC,,
66.0317,1911,1,NIC,,
35.1813,1911,2,NIC,,
24.0331,1911,3,NIC,,
73.1718,1911,4,NIC,,
267.377,1911,5,NIC,,
366.689,1911,6,NIC,,
294.504,1911,7,NIC,,
253.952,1911,8,NIC,,
236.511,1911,9,NIC,,
279.45,1911,10,NIC,,
169.586,1911,11,NIC,,
140.07,1911,12,NIC,,
66.3563,1912,1,NIC,,
35.1788,1912,2,NIC,,
24.074,1912,3,NIC,,
38.6958,1912,4,NIC,,
199.505,1912,5,NIC,,
329.37,1912,6,NIC,,
282.751,1912,7,NIC,,
279.443,1912,8,NIC,,
315.59,1912,9,NIC,,
294.027,1912,10,NIC,,
203.692,1912,11,NIC,,
120.403,1912,12,NIC,,
118.358,1913,1,NIC,,
