pr,"	Year", Month, Country, ISO3, ISO2
40.641,1901,1,BEL,,
32.7831,1901,2,BEL,,
67.5216,1901,3,BEL,,
65.8823,1901,4,BEL,,
30.1082,1901,5,BEL,,
58.894,1901,6,BEL,,
47.0622,1901,7,BEL,,
58.1432,1901,8,BEL,,
77.5505,1901,9,BEL,,
86.0206,1901,10,BEL,,
43.7234,1901,11,BEL,,
76.4486,1901,12,BEL,,
45.3675,1902,1,BEL,,
40.9431,1902,2,BEL,,
46.9054,1902,3,BEL,,
44.8301,1902,4,BEL,,
84.7098,1902,5,BEL,,
58.9381,1902,6,BEL,,
55.6338,1902,7,BEL,,
95.8003,1902,8,BEL,,
58.7964,1902,9,BEL,,
60.7842,1902,10,BEL,,
32.4287,1902,11,BEL,,
78.7136,1902,12,BEL,,
61.0778,1903,1,BEL,,
35.5,1903,2,BEL,,
62.7795,1903,3,BEL,,
108.177,1903,4,BEL,,
46.2686,1903,5,BEL,,
58.2877,1903,6,BEL,,
107.157,1903,7,BEL,,
79.0015,1903,8,BEL,,
73.8282,1903,9,BEL,,
124.792,1903,10,BEL,,
76.903,1903,11,BEL,,
30.3221,1903,12,BEL,,
55.8178,1904,1,BEL,,
85.0935,1904,2,BEL,,
57.805,1904,3,BEL,,
24.587,1904,4,BEL,,
55.2182,1904,5,BEL,,
50.9668,1904,6,BEL,,
40.4877,1904,7,BEL,,
43.2615,1904,8,BEL,,
53.6928,1904,9,BEL,,
51.3724,1904,10,BEL,,
68.2442,1904,11,BEL,,
83.4646,1904,12,BEL,,
44.7553,1905,1,BEL,,
37.0455,1905,2,BEL,,
95.7302,1905,3,BEL,,
47.7361,1905,4,BEL,,
58.96,1905,5,BEL,,
87.6766,1905,6,BEL,,
70.2537,1905,7,BEL,,
101.367,1905,8,BEL,,
74.451,1905,9,BEL,,
91.8213,1905,10,BEL,,
80.7232,1905,11,BEL,,
33.6298,1905,12,BEL,,
108.989,1906,1,BEL,,
66.2093,1906,2,BEL,,
75.0588,1906,3,BEL,,
36.9481,1906,4,BEL,,
95.499,1906,5,BEL,,
48.25,1906,6,BEL,,
55.7513,1906,7,BEL,,
63.5958,1906,8,BEL,,
35.3759,1906,9,BEL,,
70.3631,1906,10,BEL,,
88.0489,1906,11,BEL,,
78.3993,1906,12,BEL,,
45.5768,1907,1,BEL,,
38.9913,1907,2,BEL,,
45.7221,1907,3,BEL,,
58.4533,1907,4,BEL,,
66.5346,1907,5,BEL,,
74.0124,1907,6,BEL,,
59.1878,1907,7,BEL,,
53.2172,1907,8,BEL,,
26.2641,1907,9,BEL,,
81.0918,1907,10,BEL,,
46.3514,1907,11,BEL,,
68.1136,1907,12,BEL,,
43.5468,1908,1,BEL,,
76.9462,1908,2,BEL,,
53.8228,1908,3,BEL,,
50.6987,1908,4,BEL,,
70.9595,1908,5,BEL,,
56.3288,1908,6,BEL,,
81.3329,1908,7,BEL,,
98.0593,1908,8,BEL,,
55.4685,1908,9,BEL,,
10.051,1908,10,BEL,,
66.3646,1908,11,BEL,,
42.608,1908,12,BEL,,
41.5225,1909,1,BEL,,
30.4563,1909,2,BEL,,
76.4755,1909,3,BEL,,
60.8747,1909,4,BEL,,
37.8165,1909,5,BEL,,
78.075,1909,6,BEL,,
113.894,1909,7,BEL,,
67.9546,1909,8,BEL,,
68.6017,1909,9,BEL,,
94.2278,1909,10,BEL,,
42.0883,1909,11,BEL,,
115.76,1909,12,BEL,,
85.3442,1910,1,BEL,,
106.902,1910,2,BEL,,
31.2281,1910,3,BEL,,
54.1399,1910,4,BEL,,
75.4007,1910,5,BEL,,
87.9755,1910,6,BEL,,
136.012,1910,7,BEL,,
48.7375,1910,8,BEL,,
83.1131,1910,9,BEL,,
44.2574,1910,10,BEL,,
138.772,1910,11,BEL,,
79.8769,1910,12,BEL,,
33.7863,1911,1,BEL,,
46.4015,1911,2,BEL,,
71.629,1911,3,BEL,,
38.0834,1911,4,BEL,,
42.7751,1911,5,BEL,,
75.2066,1911,6,BEL,,
24.3641,1911,7,BEL,,
17.7928,1911,8,BEL,,
50.1853,1911,9,BEL,,
98.0066,1911,10,BEL,,
90.761,1911,11,BEL,,
106.278,1911,12,BEL,,
64.7739,1912,1,BEL,,
53.85,1912,2,BEL,,
90.0103,1912,3,BEL,,
20.7495,1912,4,BEL,,
44.7302,1912,5,BEL,,
77.4457,1912,6,BEL,,
54.7366,1912,7,BEL,,
145.269,1912,8,BEL,,
78.3578,1912,9,BEL,,
88.0779,1912,10,BEL,,
85.2209,1912,11,BEL,,
76.5338,1912,12,BEL,,
86.7415,1913,1,BEL,,
29.7079,1913,2,BEL,,
74.1586,1913,3,BEL,,
59.1818,1913,4,BEL,,
77.4373,1913,5,BEL,,
85.8104,1913,6,BEL,,
80.6815,1913,7,BEL,,
40.3866,1913,8,BEL,,
62.2348,1913,9,BEL,,
57.2647,1913,10,BEL,,
81.1358,1913,11,BEL,,
68.8601,1913,12,BEL,,
67.3489,1914,1,BEL,,
50.1572,1914,2,BEL,,
137.932,1914,3,BEL,,
45.698,1914,4,BEL,,
62.1121,1914,5,BEL,,
82.5192,1914,6,BEL,,
75.806,1914,7,BEL,,
67.5018,1914,8,BEL,,
84.8277,1914,9,BEL,,
39.2557,1914,10,BEL,,
57.1594,1914,11,BEL,,
112.066,1914,12,BEL,,
115.481,1915,1,BEL,,
66.8252,1915,2,BEL,,
41.3868,1915,3,BEL,,
56.2323,1915,4,BEL,,
59.1355,1915,5,BEL,,
53.0016,1915,6,BEL,,
89.7659,1915,7,BEL,,
93.4948,1915,8,BEL,,
57.0914,1915,9,BEL,,
30.8922,1915,10,BEL,,
95.6279,1915,11,BEL,,
167.874,1915,12,BEL,,
64.2619,1916,1,BEL,,
91.6734,1916,2,BEL,,
64.8072,1916,3,BEL,,
81.4823,1916,4,BEL,,
65.7243,1916,5,BEL,,
98.6186,1916,6,BEL,,
57.0213,1916,7,BEL,,
86.4329,1916,8,BEL,,
66.8433,1916,9,BEL,,
95.2289,1916,10,BEL,,
63.1239,1916,11,BEL,,
117.863,1916,12,BEL,,
64.4041,1917,1,BEL,,
15.4869,1917,2,BEL,,
64.1681,1917,3,BEL,,
60.3408,1917,4,BEL,,
52.7902,1917,5,BEL,,
101.474,1917,6,BEL,,
96.703,1917,7,BEL,,
100.468,1917,8,BEL,,
24.1173,1917,9,BEL,,
132.892,1917,10,BEL,,
66.3808,1917,11,BEL,,
40.7228,1917,12,BEL,,
82.2414,1918,1,BEL,,
41.3867,1918,2,BEL,,
40.8856,1918,3,BEL,,
68.9071,1918,4,BEL,,
44.1619,1918,5,BEL,,
38.1954,1918,6,BEL,,
90.0291,1918,7,BEL,,
74.4107,1918,8,BEL,,
122.493,1918,9,BEL,,
60.8736,1918,10,BEL,,
55.2009,1918,11,BEL,,
113.468,1918,12,BEL,,
67.0262,1919,1,BEL,,
65.7124,1919,2,BEL,,
85.6912,1919,3,BEL,,
77.8459,1919,4,BEL,,
24.1208,1919,5,BEL,,
36.5185,1919,6,BEL,,
104.922,1919,7,BEL,,
40.8377,1919,8,BEL,,
55.3651,1919,9,BEL,,
55.756,1919,10,BEL,,
103.502,1919,11,BEL,,
155.604,1919,12,BEL,,
128.47,1920,1,BEL,,
29.2124,1920,2,BEL,,
32.6942,1920,3,BEL,,
93.3894,1920,4,BEL,,
68.4197,1920,5,BEL,,
44.1196,1920,6,BEL,,
104.142,1920,7,BEL,,
59.4522,1920,8,BEL,,
55.5714,1920,9,BEL,,
30.5723,1920,10,BEL,,
23.0188,1920,11,BEL,,
60.6414,1920,12,BEL,,
83.4597,1921,1,BEL,,
12.4874,1921,2,BEL,,
32.9749,1921,3,BEL,,
30.7741,1921,4,BEL,,
31.6819,1921,5,BEL,,
39.6501,1921,6,BEL,,
7.6037,1921,7,BEL,,
51.0917,1921,8,BEL,,
26.6102,1921,9,BEL,,
23.0371,1921,10,BEL,,
54.0028,1921,11,BEL,,
57.1197,1921,12,BEL,,
100.715,1922,1,BEL,,
63.7444,1922,2,BEL,,
64.8396,1922,3,BEL,,
94.2762,1922,4,BEL,,
21.5078,1922,5,BEL,,
59.5899,1922,6,BEL,,
86.5956,1922,7,BEL,,
83.4526,1922,8,BEL,,
95.1179,1922,9,BEL,,
46.8239,1922,10,BEL,,
85.8274,1922,11,BEL,,
87.1267,1922,12,BEL,,
62.5924,1923,1,BEL,,
83.7663,1923,2,BEL,,
