pr,"	Year", Month, Country, ISO3, ISO2
47.7717,1901,1,SRB,,
59.1049,1901,2,SRB,,
51.5591,1901,3,SRB,,
48.2298,1901,4,SRB,,
54.4353,1901,5,SRB,,
149.497,1901,6,SRB,,
96.6247,1901,7,SRB,,
59.9577,1901,8,SRB,,
41.749,1901,9,SRB,,
105.782,1901,10,SRB,,
46.9787,1901,11,SRB,,
62.7191,1901,12,SRB,,
31.6243,1902,1,SRB,,
77.7718,1902,2,SRB,,
55.17,1902,3,SRB,,
55.92,1902,4,SRB,,
87.0845,1902,5,SRB,,
58.7595,1902,6,SRB,,
46.1961,1902,7,SRB,,
76.2528,1902,8,SRB,,
59.0777,1902,9,SRB,,
83.837,1902,10,SRB,,
17.5387,1902,11,SRB,,
61.4797,1902,12,SRB,,
22.8206,1903,1,SRB,,
12.5014,1903,2,SRB,,
25.1466,1903,3,SRB,,
88.3303,1903,4,SRB,,
86.2439,1903,5,SRB,,
111.208,1903,6,SRB,,
64.1301,1903,7,SRB,,
18.6769,1903,8,SRB,,
48.2722,1903,9,SRB,,
81.8291,1903,10,SRB,,
47.4518,1903,11,SRB,,
39.0996,1903,12,SRB,,
32.6054,1904,1,SRB,,
53.6146,1904,2,SRB,,
26.8467,1904,3,SRB,,
41.7138,1904,4,SRB,,
48.8535,1904,5,SRB,,
92.5956,1904,6,SRB,,
38.781,1904,7,SRB,,
33.5471,1904,8,SRB,,
74.1815,1904,9,SRB,,
85.7386,1904,10,SRB,,
36.1514,1904,11,SRB,,
43.3206,1904,12,SRB,,
35.1701,1905,1,SRB,,
25.1607,1905,2,SRB,,
36.2888,1905,3,SRB,,
66.2055,1905,4,SRB,,
91.4996,1905,5,SRB,,
98.674,1905,6,SRB,,
71.1608,1905,7,SRB,,
44.016,1905,8,SRB,,
41.4287,1905,9,SRB,,
169.081,1905,10,SRB,,
52.7106,1905,11,SRB,,
12.701,1905,12,SRB,,
45.1989,1906,1,SRB,,
39.6631,1906,2,SRB,,
51.8336,1906,3,SRB,,
24.3918,1906,4,SRB,,
87.63,1906,5,SRB,,
154.928,1906,6,SRB,,
39.9236,1906,7,SRB,,
55.7671,1906,8,SRB,,
81.3967,1906,9,SRB,,
31.3432,1906,10,SRB,,
52.7062,1906,11,SRB,,
96.8594,1906,12,SRB,,
44.0515,1907,1,SRB,,
35.0239,1907,2,SRB,,
27.1831,1907,3,SRB,,
78.8978,1907,4,SRB,,
28.1272,1907,5,SRB,,
84.1247,1907,6,SRB,,
32.7464,1907,7,SRB,,
19.7058,1907,8,SRB,,
16.5095,1907,9,SRB,,
21.8698,1907,10,SRB,,
44.6758,1907,11,SRB,,
50.4716,1907,12,SRB,,
44.494,1908,1,SRB,,
64.1155,1908,2,SRB,,
37.7946,1908,3,SRB,,
69.7243,1908,4,SRB,,
24.2973,1908,5,SRB,,
30.1235,1908,6,SRB,,
36.4921,1908,7,SRB,,
66.6835,1908,8,SRB,,
27.1869,1908,9,SRB,,
26.852,1908,10,SRB,,
70.0174,1908,11,SRB,,
36.8056,1908,12,SRB,,
40.8835,1909,1,SRB,,
44.8553,1909,2,SRB,,
57.0838,1909,3,SRB,,
23.0267,1909,4,SRB,,
129.507,1909,5,SRB,,
59.5707,1909,6,SRB,,
82.8416,1909,7,SRB,,
64.856,1909,8,SRB,,
85.7211,1909,9,SRB,,
34.0703,1909,10,SRB,,
102.812,1909,11,SRB,,
83.4169,1909,12,SRB,,
65.023,1910,1,SRB,,
41.4676,1910,2,SRB,,
18.128,1910,3,SRB,,
91.7928,1910,4,SRB,,
76.6864,1910,5,SRB,,
72.9674,1910,6,SRB,,
96.2174,1910,7,SRB,,
55.639,1910,8,SRB,,
84.3151,1910,9,SRB,,
40.7383,1910,10,SRB,,
100.368,1910,11,SRB,,
43.269,1910,12,SRB,,
32.6196,1911,1,SRB,,
25.9779,1911,2,SRB,,
24.3473,1911,3,SRB,,
70.2867,1911,4,SRB,,
82.039,1911,5,SRB,,
58.6026,1911,6,SRB,,
45.1261,1911,7,SRB,,
