pr,"	Year", Month, Country, ISO3, ISO2
43.2696,1901,1,BGR,,
65.9063,1901,2,BGR,,
31.0829,1901,3,BGR,,
35.6771,1901,4,BGR,,
43.6485,1901,5,BGR,,
145.682,1901,6,BGR,,
61.0198,1901,7,BGR,,
81.0593,1901,8,BGR,,
19.7843,1901,9,BGR,,
100.679,1901,10,BGR,,
39.806,1901,11,BGR,,
46.311,1901,12,BGR,,
20.5059,1902,1,BGR,,
50.5003,1902,2,BGR,,
29.5398,1902,3,BGR,,
39.44,1902,4,BGR,,
79.3941,1902,5,BGR,,
44.2355,1902,6,BGR,,
36.4351,1902,7,BGR,,
76.4227,1902,8,BGR,,
18.9744,1902,9,BGR,,
43.8251,1902,10,BGR,,
27.0892,1902,11,BGR,,
82.0576,1902,12,BGR,,
26.0768,1903,1,BGR,,
14.0961,1903,2,BGR,,
25.9373,1903,3,BGR,,
75.7121,1903,4,BGR,,
65.2025,1903,5,BGR,,
69.3364,1903,6,BGR,,
59.8564,1903,7,BGR,,
22.7399,1903,8,BGR,,
23.3634,1903,9,BGR,,
52.3682,1903,10,BGR,,
29.5191,1903,11,BGR,,
49.0115,1903,12,BGR,,
37.4237,1904,1,BGR,,
48.5264,1904,2,BGR,,
16.5897,1904,3,BGR,,
28.5861,1904,4,BGR,,
54.3421,1904,5,BGR,,
41.021,1904,6,BGR,,
25.7443,1904,7,BGR,,
26.5437,1904,8,BGR,,
84.3352,1904,9,BGR,,
38.2147,1904,10,BGR,,
68.9124,1904,11,BGR,,
28.9907,1904,12,BGR,,
63.732,1905,1,BGR,,
35.473,1905,2,BGR,,
38.7956,1905,3,BGR,,
49.6064,1905,4,BGR,,
72.1505,1905,5,BGR,,
73.5205,1905,6,BGR,,
69.8809,1905,7,BGR,,
4.37139,1905,8,BGR,,
18.9353,1905,9,BGR,,
131.633,1905,10,BGR,,
27.7372,1905,11,BGR,,
18.4668,1905,12,BGR,,
44.4142,1906,1,BGR,,
51.4058,1906,2,BGR,,
32.3739,1906,3,BGR,,
27.7178,1906,4,BGR,,
85.8973,1906,5,BGR,,
82.9018,1906,6,BGR,,
39.3765,1906,7,BGR,,
43.9956,1906,8,BGR,,
36.6687,1906,9,BGR,,
62.0836,1906,10,BGR,,
