pr,"	Year", Month, Country, ISO3, ISO2
28.3468,1901,1,MAC,,
25.8812,1901,2,MAC,,
58.4562,1901,3,MAC,,
269.915,1901,4,MAC,,
323.19,1901,5,MAC,,
98.8406,1901,6,MAC,,
173.925,1901,7,MAC,,
346.212,1901,8,MAC,,
84.2812,1901,9,MAC,,
57.5812,1901,10,MAC,,
27.5906,1901,11,MAC,,
24.6875,1901,12,MAC,,
12.1437,1902,1,MAC,,
0.825,1902,2,MAC,,
20.3156,1902,3,MAC,,
52.8812,1902,4,MAC,,
611.99,1902,5,MAC,,
384.103,1902,6,MAC,,
378.946,1902,7,MAC,,
579.034,1902,8,MAC,,
26.0375,1902,9,MAC,,
27.2687,1902,10,MAC,,
175.268,1902,11,MAC,,
101.231,1902,12,MAC,,
52.2437,1903,1,MAC,,
11.1718,1903,2,MAC,,
113.146,1903,3,MAC,,
138.587,1903,4,MAC,,
343.131,1903,5,MAC,,
591.759,1903,6,MAC,,
253.096,1903,7,MAC,,
370.703,1903,8,MAC,,
342.578,1903,9,MAC,,
87.4437,1903,10,MAC,,
40.9812,1903,11,MAC,,
4.64062,1903,12,MAC,,
4.2375,1904,1,MAC,,
6.27812,1904,2,MAC,,
145.681,1904,3,MAC,,
76.7687,1904,4,MAC,,
181.809,1904,5,MAC,,
451.259,1904,6,MAC,,
218.559,1904,7,MAC,,
620.065,1904,8,MAC,,
211.081,1904,9,MAC,,
53.6124,1904,10,MAC,,
10.3437,1904,11,MAC,,
10.1531,1904,12,MAC,,
67.6531,1905,1,MAC,,
34.7968,1905,2,MAC,,
210.106,1905,3,MAC,,
69.7312,1905,4,MAC,,
151.89,1905,5,MAC,,
454.743,1905,6,MAC,,
205.815,1905,7,MAC,,
282.209,1905,8,MAC,,
98.9906,1905,9,MAC,,
44.0468,1905,10,MAC,,
12.0531,1905,11,MAC,,
78.5156,1905,12,MAC,,
73.3062,1906,1,MAC,,
65.5374,1906,2,MAC,,
107.65,1906,3,MAC,,
289.549,1906,4,MAC,,
294.828,1906,5,MAC,,
152.228,1906,6,MAC,,
212.54,1906,7,MAC,,
92.1875,1906,8,MAC,,
598.446,1906,9,MAC,,
30.0937,1906,10,MAC,,
7.15937,1906,11,MAC,,
22.2093,1906,12,MAC,,
126.296,1907,1,MAC,,
7.65,1907,2,MAC,,
16.4093,1907,3,MAC,,
328.384,1907,4,MAC,,
296.156,1907,5,MAC,,
295.762,1907,6,MAC,,
195.359,1907,7,MAC,,
338.256,1907,8,MAC,,
356.618,1907,9,MAC,,
248.284,1907,10,MAC,,
49.3968,1907,11,MAC,,
49.6093,1907,12,MAC,,
107.581,1908,1,MAC,,
91.0625,1908,2,MAC,,
38.1031,1908,3,MAC,,
267.062,1908,4,MAC,,
48.4656,1908,5,MAC,,
369.903,1908,6,MAC,,
506.471,1908,7,MAC,,
304.971,1908,8,MAC,,
268.881,1908,9,MAC,,
143.234,1908,10,MAC,,
13.2093,1908,11,MAC,,
