pr,"	Year", Month, Country, ISO3, ISO2
78.5691,1901,1,GUY,,
76.5978,1901,2,GUY,,
156.168,1901,3,GUY,,
155.903,1901,4,GUY,,
329.682,1901,5,GUY,,
339.801,1901,6,GUY,,
236.012,1901,7,GUY,,
236.335,1901,8,GUY,,
160.892,1901,9,GUY,,
89.3943,1901,10,GUY,,
112.887,1901,11,GUY,,
216.356,1901,12,GUY,,
240.214,1902,1,GUY,,
187.935,1902,2,GUY,,
398.444,1902,3,GUY,,
234.998,1902,4,GUY,,
252.69,1902,5,GUY,,
317.573,1902,6,GUY,,
269.63,1902,7,GUY,,
172.447,1902,8,GUY,,
105.284,1902,9,GUY,,
71.6707,1902,10,GUY,,
112.564,1902,11,GUY,,
119.478,1902,12,GUY,,
131.954,1903,1,GUY,,
112.41,1903,2,GUY,,
220.725,1903,3,GUY,,
296.461,1903,4,GUY,,
418.198,1903,5,GUY,,
496.278,1903,6,GUY,,
241.72,1903,7,GUY,,
166.879,1903,8,GUY,,
169.466,1903,9,GUY,,
38.3327,1903,10,GUY,,
85.218,1903,11,GUY,,
223.301,1903,12,GUY,,
169.233,1904,1,GUY,,
106.46,1904,2,GUY,,
345.124,1904,3,GUY,,
264.629,1904,4,GUY,,
318.131,1904,5,GUY,,
262.96,1904,6,GUY,,
240.506,1904,7,GUY,,
113.48,1904,8,GUY,,
82.6248,1904,9,GUY,,
53.1712,1904,10,GUY,,
73.667,1904,11,GUY,,
241.155,1904,12,GUY,,
118.465,1905,1,GUY,,
157.66,1905,2,GUY,,
131.971,1905,3,GUY,,
231.706,1905,4,GUY,,
298.868,1905,5,GUY,,
302.511,1905,6,GUY,,
249.407,1905,7,GUY,,
159.771,1905,8,GUY,,
96.2808,1905,9,GUY,,
82.0283,1905,10,GUY,,
103.764,1905,11,GUY,,
226.7,1905,12,GUY,,
92.9749,1906,1,GUY,,
148.025,1906,2,GUY,,
134.482,1906,3,GUY,,
369.745,1906,4,GUY,,
367.31,1906,5,GUY,,
302.7,1906,6,GUY,,
337.183,1906,7,GUY,,
246.238,1906,8,GUY,,
83.0175,1906,9,GUY,,
64.6138,1906,10,GUY,,
114.08,1906,11,GUY,,
144.89,1906,12,GUY,,
194.167,1907,1,GUY,,
223.091,1907,2,GUY,,
395.61,1907,3,GUY,,
400.627,1907,4,GUY,,
413.991,1907,5,GUY,,
303.142,1907,6,GUY,,
241.432,1907,7,GUY,,
138.102,1907,8,GUY,,
72.0814,1907,9,GUY,,
41.4445,1907,10,GUY,,
111.723,1907,11,GUY,,
114.143,1907,12,GUY,,
117.693,1908,1,GUY,,
173.402,1908,2,GUY,,
221.934,1908,3,GUY,,
183.377,1908,4,GUY,,
329.977,1908,5,GUY,,
287.884,1908,6,GUY,,
389.05,1908,7,GUY,,
294.156,1908,8,GUY,,
136.254,1908,9,GUY,,
85.1252,1908,10,GUY,,
100.239,1908,11,GUY,,
150.694,1908,12,GUY,,
151.195,1909,1,GUY,,
264.036,1909,2,GUY,,
230.101,1909,3,GUY,,
229.259,1909,4,GUY,,
392.647,1909,5,GUY,,
375.273,1909,6,GUY,,
308.077,1909,7,GUY,,
220.397,1909,8,GUY,,
77.866,1909,9,GUY,,
100.996,1909,10,GUY,,
69.4296,1909,11,GUY,,
209.688,1909,12,GUY,,
229.733,1910,1,GUY,,
184.149,1910,2,GUY,,
212.238,1910,3,GUY,,
183.078,1910,4,GUY,,
325.912,1910,5,GUY,,
374.707,1910,6,GUY,,
321.625,1910,7,GUY,,
277.827,1910,8,GUY,,
130.674,1910,9,GUY,,
73.9281,1910,10,GUY,,
82.7802,1910,11,GUY,,
348.71,1910,12,GUY,,
159.34,1911,1,GUY,,
232.572,1911,2,GUY,,
318.552,1911,3,GUY,,
213.316,1911,4,GUY,,
307.63,1911,5,GUY,,
331.344,1911,6,GUY,,
252.916,1911,7,GUY,,
148.051,1911,8,GUY,,
51.3294,1911,9,GUY,,
96.0082,1911,10,GUY,,
90.8212,1911,11,GUY,,
245.525,1911,12,GUY,,
83.4379,1912,1,GUY,,
57.1138,1912,2,GUY,,
81.6942,1912,3,GUY,,
183.745,1912,4,GUY,,
318.513,1912,5,GUY,,
321.186,1912,6,GUY,,
301.624,1912,7,GUY,,
185.824,1912,8,GUY,,
83.7202,1912,9,GUY,,
63.021,1912,10,GUY,,
103.473,1912,11,GUY,,
229.59,1912,12,GUY,,
275.841,1913,1,GUY,,
92.4058,1913,2,GUY,,
158.499,1913,3,GUY,,
122.8,1913,4,GUY,,
199.874,1913,5,GUY,,
320.425,1913,6,GUY,,
286.733,1913,7,GUY,,
155.972,1913,8,GUY,,
99.6116,1913,9,GUY,,
83.0398,1913,10,GUY,,
73.5892,1913,11,GUY,,
255.509,1913,12,GUY,,
100.664,1914,1,GUY,,
136.879,1914,2,GUY,,
132.979,1914,3,GUY,,
191.207,1914,4,GUY,,
495.247,1914,5,GUY,,
296.705,1914,6,GUY,,
221.605,1914,7,GUY,,
166.713,1914,8,GUY,,
124.101,1914,9,GUY,,
95.09,1914,10,GUY,,
104.974,1914,11,GUY,,
128.33,1914,12,GUY,,
157.506,1915,1,GUY,,
338.89,1915,2,GUY,,
91.9646,1915,3,GUY,,
207.348,1915,4,GUY,,
427.132,1915,5,GUY,,
331.584,1915,6,GUY,,
225.632,1915,7,GUY,,
153.493,1915,8,GUY,,
55.4763,1915,9,GUY,,
55.1497,1915,10,GUY,,
90.724,1915,11,GUY,,
143.383,1915,12,GUY,,
182.065,1916,1,GUY,,
150.509,1916,2,GUY,,
131.088,1916,3,GUY,,
119.974,1916,4,GUY,,
353.902,1916,5,GUY,,
350.279,1916,6,GUY,,
323.147,1916,7,GUY,,
263.522,1916,8,GUY,,
70.9649,1916,9,GUY,,
76.3602,1916,10,GUY,,
170.432,1916,11,GUY,,
213.733,1916,12,GUY,,
220.305,1917,1,GUY,,
118.925,1917,2,GUY,,
173.966,1917,3,GUY,,
142.786,1917,4,GUY,,
281.696,1917,5,GUY,,
325.288,1917,6,GUY,,
253.568,1917,7,GUY,,
202.938,1917,8,GUY,,
118.607,1917,9,GUY,,
95.6639,1917,10,GUY,,
136.179,1917,11,GUY,,
196.618,1917,12,GUY,,
177.588,1918,1,GUY,,
109.534,1918,2,GUY,,
260.491,1918,3,GUY,,
255.874,1918,4,GUY,,
396.665,1918,5,GUY,,
352.889,1918,6,GUY,,
315.417,1918,7,GUY,,
137.066,1918,8,GUY,,
49.5862,1918,9,GUY,,
51.0171,1918,10,GUY,,
96.1193,1918,11,GUY,,
154.549,1918,12,GUY,,
121.266,1919,1,GUY,,
63.2956,1919,2,GUY,,
231.067,1919,3,GUY,,
270.981,1919,4,GUY,,
439.066,1919,5,GUY,,
278.27,1919,6,GUY,,
271.046,1919,7,GUY,,
191.704,1919,8,GUY,,
90.2134,1919,9,GUY,,
51.0964,1919,10,GUY,,
91.3846,1919,11,GUY,,
141.482,1919,12,GUY,,
261.844,1920,1,GUY,,
149.12,1920,2,GUY,,
105.499,1920,3,GUY,,
123.897,1920,4,GUY,,
234.786,1920,5,GUY,,
289.866,1920,6,GUY,,
251.764,1920,7,GUY,,
167.133,1920,8,GUY,,
91.6972,1920,9,GUY,,
63.9676,1920,10,GUY,,
82.9034,1920,11,GUY,,
166.779,1920,12,GUY,,
124.899,1921,1,GUY,,
54.0402,1921,2,GUY,,
122.964,1921,3,GUY,,
251.998,1921,4,GUY,,
144.859,1921,5,GUY,,
480.124,1921,6,GUY,,
331.252,1921,7,GUY,,
153.808,1921,8,GUY,,
118.933,1921,9,GUY,,
166.552,1921,10,GUY,,
217.106,1921,11,GUY,,
204.615,1921,12,GUY,,
161.78,1922,1,GUY,,
121.537,1922,2,GUY,,
97.1014,1922,3,GUY,,
129.252,1922,4,GUY,,
367.177,1922,5,GUY,,
367.756,1922,6,GUY,,
231.739,1922,7,GUY,,
263.218,1922,8,GUY,,
111.171,1922,9,GUY,,
69.7917,1922,10,GUY,,
188.529,1922,11,GUY,,
