pr,"	Year", Month, Country, ISO3, ISO2
230.256,1901,1,BRA,,
220.684,1901,2,BRA,,
241.885,1901,3,BRA,,
174.373,1901,4,BRA,,
122.834,1901,5,BRA,,
74.0658,1901,6,BRA,,
69.8303,1901,7,BRA,,
59.4876,1901,8,BRA,,
76.5292,1901,9,BRA,,
117.08,1901,10,BRA,,
151.496,1901,11,BRA,,
205.056,1901,12,BRA,,
214.472,1902,1,BRA,,
213.322,1902,2,BRA,,
241.489,1902,3,BRA,,
173.213,1902,4,BRA,,
122.284,1902,5,BRA,,
74.553,1902,6,BRA,,
61.4888,1902,7,BRA,,
67.7738,1902,8,BRA,,
77.0399,1902,9,BRA,,
128.343,1902,10,BRA,,
162.622,1902,11,BRA,,
213.075,1902,12,BRA,,
226.419,1903,1,BRA,,
213.96,1903,2,BRA,,
225.146,1903,3,BRA,,
169.193,1903,4,BRA,,
125.836,1903,5,BRA,,
77.3882,1903,6,BRA,,
58.5319,1903,7,BRA,,
56.9653,1903,8,BRA,,
75.2839,1903,9,BRA,,
125.352,1903,10,BRA,,
155.804,1903,11,BRA,,
205.983,1903,12,BRA,,
232.043,1904,1,BRA,,
213.26,1904,2,BRA,,
221.466,1904,3,BRA,,
172.176,1904,4,BRA,,
123.379,1904,5,BRA,,
75.47,1904,6,BRA,,
63.7302,1904,7,BRA,,
57.2912,1904,8,BRA,,
75.1994,1904,9,BRA,,
139.923,1904,10,BRA,,
144.555,1904,11,BRA,,
191.066,1904,12,BRA,,
220.974,1905,1,BRA,,
215.271,1905,2,BRA,,
238.077,1905,3,BRA,,
171.956,1905,4,BRA,,
133.824,1905,5,BRA,,
74.8215,1905,6,BRA,,
63.8506,1905,7,BRA,,
62.2261,1905,8,BRA,,
80.2008,1905,9,BRA,,
130.492,1905,10,BRA,,
151.986,1905,11,BRA,,
203.371,1905,12,BRA,,
222.074,1906,1,BRA,,
208.879,1906,2,BRA,,
225.273,1906,3,BRA,,
180.522,1906,4,BRA,,
127.25,1906,5,BRA,,
76.9697,1906,6,BRA,,
57.3121,1906,7,BRA,,
54.2499,1906,8,BRA,,
71.0541,1906,9,BRA,,
115.675,1906,10,BRA,,
142.994,1906,11,BRA,,
193.751,1906,12,BRA,,
212.401,1907,1,BRA,,
205.954,1907,2,BRA,,
222.169,1907,3,BRA,,
185.243,1907,4,BRA,,
124.376,1907,5,BRA,,
75.3869,1907,6,BRA,,
63.7063,1907,7,BRA,,
61.158,1907,8,BRA,,
75.1933,1907,9,BRA,,
113.909,1907,10,BRA,,
157.37,1907,11,BRA,,
202.495,1907,12,BRA,,
226.756,1908,1,BRA,,
209.738,1908,2,BRA,,
218.494,1908,3,BRA,,
180.964,1908,4,BRA,,
127.837,1908,5,BRA,,
75.8873,1908,6,BRA,,
64.4651,1908,7,BRA,,
51.9298,1908,8,BRA,,
70.513,1908,9,BRA,,
129.462,1908,10,BRA,,
163.308,1908,11,BRA,,
188.347,1908,12,BRA,,
223.949,1909,1,BRA,,
215.987,1909,2,BRA,,
229.016,1909,3,BRA,,
177.61,1909,4,BRA,,
126.134,1909,5,BRA,,
79.4253,1909,6,BRA,,
60.9123,1909,7,BRA,,
55.0912,1909,8,BRA,,
74.3693,1909,9,BRA,,
