pr,"	Year", Month, Country, ISO3, ISO2
11.9255,1901,1,THA,,
16.1525,1901,2,THA,,
34.9087,1901,3,THA,,
79.7731,1901,4,THA,,
215.267,1901,5,THA,,
230.298,1901,6,THA,,
224.982,1901,7,THA,,
246.457,1901,8,THA,,
265.071,1901,9,THA,,
180.142,1901,10,THA,,
72.4356,1901,11,THA,,
21.6244,1901,12,THA,,
5.11456,1902,1,THA,,
10.0208,1902,2,THA,,
29.5517,1902,3,THA,,
89.1712,1902,4,THA,,
149.387,1902,5,THA,,
170.632,1902,6,THA,,
185.448,1902,7,THA,,
263.423,1902,8,THA,,
241.627,1902,9,THA,,
147.916,1902,10,THA,,
72.6394,1902,11,THA,,
48.5361,1902,12,THA,,
8.76831,1903,1,THA,,
12.2736,1903,2,THA,,
18.2091,1903,3,THA,,
24.8235,1903,4,THA,,
157.743,1903,5,THA,,
243.989,1903,6,THA,,
191.08,1903,7,THA,,
260.318,1903,8,THA,,
250.355,1903,9,THA,,
182.132,1903,10,THA,,
46.3978,1903,11,THA,,
59.8173,1903,12,THA,,
13.7342,1904,1,THA,,
5.46943,1904,2,THA,,
20.5113,1904,3,THA,,
116.224,1904,4,THA,,
252.185,1904,5,THA,,
216.1,1904,6,THA,,
195.583,1904,7,THA,,
219.136,1904,8,THA,,
293.015,1904,9,THA,,
148.621,1904,10,THA,,
114.575,1904,11,THA,,
19.1514,1904,12,THA,,
8.53443,1905,1,THA,,
6.34124,1905,2,THA,,
65.3468,1905,3,THA,,
50.6714,1905,4,THA,,
216.882,1905,5,THA,,
221.677,1905,6,THA,,
220.353,1905,7,THA,,
236.158,1905,8,THA,,
292.279,1905,9,THA,,
124.657,1905,10,THA,,
73.2061,1905,11,THA,,
15.5046,1905,12,THA,,
13.0619,1906,1,THA,,
7.39833,1906,2,THA,,
12.1287,1906,3,THA,,
20.6462,1906,4,THA,,
188.361,1906,5,THA,,
183.108,1906,6,THA,,
225.551,1906,7,THA,,
249.657,1906,8,THA,,
328.25,1906,9,THA,,
108.048,1906,10,THA,,
62.9771,1906,11,THA,,
28.5531,1906,12,THA,,
42.281,1907,1,THA,,
5.48042,1907,2,THA,,
86.9291,1907,3,THA,,
34.3201,1907,4,THA,,
242.438,1907,5,THA,,
192.297,1907,6,THA,,
176.246,1907,7,THA,,
212.137,1907,8,THA,,
187.528,1907,9,THA,,
214.371,1907,10,THA,,
87.3429,1907,11,THA,,
34.491,1907,12,THA,,
13.1209,1908,1,THA,,
20.1595,1908,2,THA,,
9.59,1908,3,THA,,
118.149,1908,4,THA,,
256.317,1908,5,THA,,
251.392,1908,6,THA,,
239.067,1908,7,THA,,
290.546,1908,8,THA,,
344.242,1908,9,THA,,
156.232,1908,10,THA,,
89.2184,1908,11,THA,,
41.131,1908,12,THA,,
30.2911,1909,1,THA,,
17.6903,1909,2,THA,,
21.0528,1909,3,THA,,
47.8925,1909,4,THA,,
221.265,1909,5,THA,,
178.677,1909,6,THA,,
239.046,1909,7,THA,,
311.982,1909,8,THA,,
292.77,1909,9,THA,,
176.309,1909,10,THA,,
141.564,1909,11,THA,,
9.83378,1909,12,THA,,
26.3573,1910,1,THA,,
32.7957,1910,2,THA,,
46.3602,1910,3,THA,,
121.301,1910,4,THA,,
207.879,1910,5,THA,,
292.512,1910,6,THA,,
193.459,1910,7,THA,,
319.534,1910,8,THA,,
300.741,1910,9,THA,,
165.803,1910,10,THA,,
69.9077,1910,11,THA,,
52.7772,1910,12,THA,,
32.0784,1911,1,THA,,
13.0923,1911,2,THA,,
24.6976,1911,3,THA,,
98.8573,1911,4,THA,,
165.259,1911,5,THA,,
208.746,1911,6,THA,,
145.859,1911,7,THA,,
150.898,1911,8,THA,,
269.523,1911,9,THA,,
162.556,1911,10,THA,,
42.3385,1911,11,THA,,
31.3181,1911,12,THA,,
13.0524,1912,1,THA,,
6.90865,1912,2,THA,,
42.0954,1912,3,THA,,
65.2958,1912,4,THA,,
165.971,1912,5,THA,,
179.738,1912,6,THA,,
286.764,1912,7,THA,,
291.309,1912,8,THA,,
203.9,1912,9,THA,,
124.664,1912,10,THA,,
106.934,1912,11,THA,,
18.9035,1912,12,THA,,
22.1501,1913,1,THA,,
25.1144,1913,2,THA,,
11.7125,1913,3,THA,,
44.3411,1913,4,THA,,
219.12,1913,5,THA,,
182.81,1913,6,THA,,
248.928,1913,7,THA,,
254.619,1913,8,THA,,
221.7,1913,9,THA,,
122.566,1913,10,THA,,
117.868,1913,11,THA,,
35.999,1913,12,THA,,
19.2142,1914,1,THA,,
10.2029,1914,2,THA,,
59.52,1914,3,THA,,
60.6095,1914,4,THA,,
160.804,1914,5,THA,,
238.573,1914,6,THA,,
245.402,1914,7,THA,,
217.507,1914,8,THA,,
193.868,1914,9,THA,,
152.958,1914,10,THA,,
76.6978,1914,11,THA,,
40.3229,1914,12,THA,,
5.67286,1915,1,THA,,
4.1582,1915,2,THA,,
38.2888,1915,3,THA,,
90.7897,1915,4,THA,,
172.71,1915,5,THA,,
239.73,1915,6,THA,,
190.976,1915,7,THA,,
250.633,1915,8,THA,,
281.417,1915,9,THA,,
261.427,1915,10,THA,,
85.1745,1915,11,THA,,
